name,tn,fp,fn,tp,r2,precision,recall,mcc
ImplicitDefinitions baseline,228,80,43,85,-0.3602881493506491,51.515151515151516,66.40625,0.3796482098900679
ImplicitDefinitions,232,76,43,85,-0.31605113636363624,52.79503105590062,66.40625,0.3937849127695402
ImplicitConversions baseline,518,171,90,186,-0.3244620432889498,52.10084033613446,67.3913043478261,0.39848292909285377
ImplicitConversions,518,171,81,195,-0.27879093834795166,53.278688524590166,70.65217391304348,0.4268685245146697
ImplicitParameters baseline,447,155,110,192,-0.31768277925678245,55.3314121037464,63.576158940397356,0.36688523325527733
ImplicitParameters,446,156,104,198,-0.29282084002552233,55.932203389830505,65.56291390728477,0.38313708008637914
OverridingPatternVariables baseline,37,18,26,37,-0.49841269841269864,67.27272727272727,58.730158730158735,0.26002886002886005
OverridingPatternVariables,37,18,25,38,-0.4643578643578645,67.85714285714286,60.317460317460316,0.2756236086844271
UsageOfNull baseline,261,75,60,100,-0.2455357142857142,57.14285714285714,62.5,0.3930543260458348
UsageOfNull,242,94,55,105,-0.37470238095238084,52.76381909547738,65.625,0.35906751433505213
FunctionVariables baseline,298,102,65,151,-0.19064814814814834,59.683794466403164,69.9074074074074,0.4307236486018506
FunctionVariables,293,107,68,148,-0.24768518518518556,58.03921568627452,68.51851851851852,0.404652522186022
