name,tn,fp,fn,tp,r2,precision,recall,mcc
ImplicitDefinitions baseline,119,56,13,33,-0.8942857142857139,37.07865168539326,71.73913043478261,0.3289533632132061
ImplicitDefinitions,127,48,15,31,-0.7295652173913041,39.24050632911392,67.3913043478261,0.33852862938383776
ImplicitConversions baseline,90,20,8,10,-0.8101010101010102,33.33333333333333,55.55555555555556,0.30670825096956283
ImplicitConversions,86,24,8,10,-1.0686868686868687,29.411764705882355,55.55555555555556,0.2655464390947703
ImplicitParameters baseline,55,23,10,13,-0.8578595317725752,36.11111111111111,56.52173913043478,0.23671326217887004
ImplicitParameters,55,23,11,12,-0.9141583054626534,34.285714285714285,52.17391304347826,0.19992964733852595
OverridingPatternVariables baseline,52,10,5,8,-0.3957816377171215,44.44444444444444,61.53846153846154,0.4024759036123166
OverridingPatternVariables,50,12,6,7,-0.6749379652605456,36.84210526315789,53.84615384615385,0.30019707824846326
UsageOfNull baseline,11,7,5,5,-0.8666666666666667,41.66666666666667,50.0,0.10758287072798381
UsageOfNull,11,7,6,4,-1.0222222222222221,36.36363636363637,40.0,0.010901165669462145
FunctionVariables baseline,103,41,16,22,-0.8958333333333333,34.92063492063492,57.89473684210527,0.2513674712970358
FunctionVariables,117,27,18,20,-0.4967105263157894,42.5531914893617,52.63157894736842,0.31464502712491454
