name,tn,fp,fn,tp,r2,precision,recall,mcc
ImplicitDefinitions baseline,195,48,27,61,-0.16091470258136953,55.96330275229357,69.31818181818183,0.46594073785298623
ImplicitDefinitions,199,44,27,61,-0.09899925177702973,58.0952380952381,69.31818181818183,0.4861389705376561
ImplicitConversions baseline,78,28,16,24,-0.5150943396226413,46.15384615384615,60.0,0.31279619566951566
ImplicitConversions,80,26,14,26,-0.37735849056603765,50.0,65.0,0.3769369886017478
ImplicitParameters baseline,172,38,37,68,-0.0714285714285714,64.15094339622641,64.76190476190476,0.4655700153557345
ImplicitParameters,171,39,39,66,-0.11428571428571432,62.857142857142854,62.857142857142854,0.44285714285714284
OverridingPatternVariables baseline,14,8,8,10,-0.6161616161616161,55.55555555555556,55.55555555555556,0.1919191919191919
OverridingPatternVariables,14,8,7,11,-0.5151515151515151,57.89473684210527,61.111111111111114,0.2465426358859398
UsageOfNull baseline,65,13,9,26,0.08937728937728917,66.66666666666666,74.28571428571429,0.5604014311632011
UsageOfNull,66,12,10,25,0.08937728937728917,67.56756756756756,71.42857142857143,0.5522076885096048
FunctionVariables baseline,108,26,14,20,-0.4749780509218611,43.47826086956522,58.82352941176471,0.3551858398192262
FunctionVariables,107,27,15,19,-0.548726953467954,41.30434782608695,55.88235294117647,0.3219613291902563
