name,tn,fp,fn,tp,r2,precision,recall,mcc
ImplicitDefinitions baseline,520,95,39,65,-0.5063477173233268,40.625,62.5,0.39790026176366117
ImplicitDefinitions,515,100,39,65,-0.5625547217010629,39.39393939393939,62.5,0.38678860521456404
ImplicitConversions baseline,321,58,21,30,-0.7574628796109477,34.090909090909086,58.82352941176471,0.3487708516867194
ImplicitConversions,321,58,19,32,-0.7129701484815565,35.55555555555556,62.745098039215684,0.3770543273184802
ImplicitParameters baseline,118,27,23,40,-0.13847837985769007,59.70149253731343,63.49206349206349,0.4412418378102008
ImplicitParameters,116,29,22,41,-0.16124794745484383,58.57142857142858,65.07936507936508,0.4383727029649408
OverridingPatternVariables baseline,13,6,7,9,-0.49671052631578894,60.0,56.25,0.24834981694969574
OverridingPatternVariables,13,6,7,9,-0.49671052631578894,60.0,56.25,0.24834981694969574
UsageOfNull baseline,9,3,4,12,-0.020833333333333037,80.0,75.0,0.49613893835683387
UsageOfNull,9,3,4,12,-0.020833333333333037,80.0,75.0,0.49613893835683387
FunctionVariables baseline,116,25,18,30,-0.20079787234042556,54.54545454545454,62.5,0.42902115679516006
FunctionVariables,115,26,17,31,-0.20079787234042556,54.385964912280706,64.58333333333334,0.4376404095450762
