name,count,precision,recall,mcc
FunctionVariables,7,53.03030303030303,57.377049180327866,0.3219613291902563
FunctionVariables baseline,7,50.0,60.65573770491803,0.3551858398192262
ImplicitConversions,7,36.263736263736256,61.53846153846154,0.3769369886017478
ImplicitConversions baseline,7,35.555555555555564,58.82352941176471,0.3127961956695157
ImplicitDefinitions,7,52.79503105590062,64.0,0.39019437716410266
ImplicitDefinitions baseline,7,51.51515151515152,68.0,0.3951925326692951
ImplicitParameters,7,55.932203389830505,62.85714285714285,0.3703752916817693
ImplicitParameters baseline,7,55.331412103746395,62.5,0.3598508030042909
OverridingPatternVariables,6,55.870445344129564,60.714285714285715,0.26522360220161995
OverridingPatternVariables baseline,6,54.700854700854705,60.13431013431014,0.2703537809745267
UnitVariables,1,91.66666666666666,84.61538461538461,0.8495690637658717
UnitVariables baseline,1,91.66666666666666,84.61538461538461,0.8495690637658717
UsageOfNull,7,52.76381909547738,61.53846153846154,0.3457037765830078
UsageOfNull baseline,7,57.14285714285714,55.00000000000001,0.15018785229652767
