name,tn,fp,fn,tp,r2,precision,recall,mcc
ImplicitDefinitions baseline,676,259,145,250,-0.4548703716239084,49.115913555992144,63.29113924050633,0.33458714240256443
ImplicitDefinitions,690,245,129,266,-0.34683544303797476,52.054794520547944,67.34177215189874,0.38645690905156244
ImplicitConversions baseline,1159,445,276,589,-0.28302725844348675,56.963249516441,68.09248554913296,0.3901759421543206
ImplicitConversions,1174,430,276,589,-0.2563345970334281,57.801766437684,68.09248554913296,0.4000610123768086
ImplicitParameters baseline,1593,494,335,572,-0.3112230963030973,53.65853658536586,63.06504961411245,0.3780686375925722
ImplicitParameters,1588,499,302,605,-0.2669357058368891,54.800724637681164,66.70341786108048,0.40759348201790085
OverridingPatternVariables baseline,206,85,58,128,-0.2602261390089793,60.093896713615024,68.81720430107528,0.38858813405479703
OverridingPatternVariables,204,87,59,127,-0.2866644496175592,59.345794392523366,68.27956989247312,0.37640319826647356
UsageOfNull baseline,1030,325,178,370,-0.2891009238559541,53.23741007194245,67.51824817518248,0.4094046181515404
UsageOfNull,1056,299,182,366,-0.23271877609287062,55.037593984962406,66.78832116788321,0.42472618128787976
UnitVariables baseline,45,4,8,18,0.2935635792778648,81.81818181818183,69.23076923076923,0.6383305174549991
UnitVariables,45,4,8,18,0.2935635792778648,81.81818181818183,69.23076923076923,0.6383305174549991
FunctionVariables baseline,1584,467,207,514,-0.26343294533095385,52.39551478083588,71.28987517337032,0.44513668092693465
FunctionVariables,1576,475,206,515,-0.276554652478308,52.02020202020202,71.42857142857143,0.4419249786618353
