name,tn,fp,fn,tp,r2,precision,recall,mcc
ImplicitDefinitions baseline,237,65,60,114,-0.13229808936591336,63.687150837988824,65.51724137931035,0.43738856387915676
ImplicitDefinitions,241,61,61,113,-0.10512293522113136,64.9425287356322,64.9425287356322,0.44743853238943443
ImplicitConversions baseline,77,36,27,55,-0.3258148068206348,60.43956043956044,67.07317073170732,0.34844445685741926
ImplicitConversions,76,37,27,55,-0.3468594862939782,59.78260869565217,67.07317073170732,0.33947280989048023
ImplicitParameters baseline,122,34,38,66,-0.15384615384615352,66.0,63.46153846153846,0.4195731958391368
ImplicitParameters,120,36,38,66,-0.18589743589743568,64.70588235294117,63.46153846153846,0.40519706465651334
OverridingPatternVariables baseline,24,11,13,38,-0.15630252100840303,77.55102040816327,74.50980392156863,0.42747264413569447
OverridingPatternVariables,23,12,14,37,-0.25266106442576985,75.51020408163265,72.54901960784314,0.379666860786319
UsageOfNull baseline,22,7,6,18,0.010057471264367845,72.0,75.0,0.5071654057292088
UsageOfNull,19,10,7,17,-0.29454022988505746,62.96296296296296,70.83333333333334,0.3619489701778472
FunctionVariables baseline,129,40,44,104,-0.06460898768591083,72.22222222222221,70.27027027027027,0.46695070038862074
FunctionVariables,133,36,41,107,0.02410842795458168,74.82517482517483,72.2972972972973,0.5112856574136302
