name,tn,fp,fn,tp,r2,precision,recall,mcc
ImplicitDefinitions baseline,42,15,16,17,-0.4832535885167466,53.125,51.515151515151516,0.2536850987968985
ImplicitDefinitions,42,15,15,18,-0.43540669856459346,54.54545454545454,54.54545454545454,0.2822966507177033
ImplicitConversions baseline,43,9,15,24,-0.07692307692307687,72.72727272727273,61.53846153846154,0.4552893599173151
ImplicitConversions,42,10,17,22,-0.21153846153846168,68.75,56.41025641025641,0.3853331525032321
ImplicitParameters baseline,23,15,20,20,-0.7960526315789471,57.14285714285714,50.0,0.10578642453886136
ImplicitParameters,24,14,18,22,-0.6421052631578945,61.111111111111114,55.00000000000001,0.18205868122262478
UsageOfNull baseline,12,8,10,10,-0.8,55.55555555555556,50.0,0.10050378152592121
UsageOfNull,13,7,9,11,-0.6000000000000001,61.111111111111114,55.00000000000001,0.20100756305184242
FunctionVariables baseline,9,7,12,3,-1.4541666666666662,30.0,20.0,-0.2538981798168031
FunctionVariables,9,7,11,4,-1.3249999999999997,36.36363636363637,26.666666666666668,-0.1784295973545903
