name,tn,fp,fn,tp,r2,precision,recall,mcc
ImplicitDefinitions baseline,124,51,15,31,-0.8119254658385091,37.80487804878049,67.3913043478261,0.32143815186553676
ImplicitDefinitions,136,39,15,31,-0.48248447204968925,44.285714285714285,67.3913043478261,0.3936323790960031
ImplicitConversions baseline,85,25,8,10,-1.1333333333333333,28.57142857142857,55.55555555555556,0.25603849459993516
ImplicitConversions,85,25,9,9,-1.197979797979798,26.47058823529412,50.0,0.21466328908858678
ImplicitParameters baseline,55,23,11,12,-0.9141583054626534,34.285714285714285,52.17391304347826,0.19992964733852595
ImplicitParameters,55,23,9,14,-0.8015607580824973,37.83783783783784,60.86956521739131,0.2731532212684169
OverridingPatternVariables baseline,51,11,6,7,-0.5818858560794042,38.88888888888889,53.84615384615385,0.32000133319995666
OverridingPatternVariables,51,11,7,6,-0.6749379652605456,35.294117647058826,46.15384615384615,0.25687953355784443
UsageOfNull baseline,9,9,7,3,-1.488888888888889,25.0,30.0,-0.19364916731037085
UsageOfNull,9,9,7,3,-1.488888888888889,25.0,30.0,-0.19364916731037085
FunctionVariables baseline,106,38,14,24,-0.7295321637426901,38.70967741935484,63.1578947368421,0.3153323041668667
FunctionVariables,116,28,16,22,-0.4634502923976609,44.0,57.89473684210527,0.35010694297919875
