name,tn,fp,fn,tp,r2,precision,recall,mcc
ImplicitDefinitions baseline,297,72,70,125,-0.11302897644361054,63.45177664974619,64.1025641025641,0.44484161589210636
ImplicitDefinitions,297,72,69,126,-0.10519074421513452,63.63636363636363,64.61538461538461,0.4494326352558704
ImplicitConversions baseline,161,41,36,87,-0.0072043789744826725,67.96875,70.73170731707317,0.5006329057367699
ImplicitConversions,159,43,41,82,-0.09876841342670839,65.60000000000001,66.66666666666666,0.45239553067157634
ImplicitParameters baseline,293,49,74,139,0.06288608846058807,73.93617021276596,65.25821596244131,0.5233241828723194
ImplicitParameters,291,51,74,139,0.04764846388271149,73.15789473684211,65.25821596244131,0.5159932674071172
OverridingPatternVariables baseline,27,11,8,17,-0.26000000000000023,60.71428571428571,68.0,0.3845024125583062
OverridingPatternVariables,27,11,7,18,-0.1936842105263159,62.06896551724138,72.0,0.4225937287658033
UsageOfNull baseline,131,21,36,94,0.18653846153846154,81.73913043478261,72.3076923076923,0.5933105409903228
UsageOfNull,126,26,35,95,0.1294534412955466,78.51239669421489,73.07692307692307,0.5637103823387847
FunctionVariables baseline,192,42,38,65,-0.11857937100655547,60.747663551401864,63.10679611650486,0.4468957095391124
FunctionVariables,190,44,36,67,-0.11857937100655547,60.36036036036037,65.0485436893204,0.4532906789236712
