name,tn,fp,fn,tp,r2,precision,recall,mcc
ImplicitDefinitions baseline,948,149,61,99,-0.5039311759343661,39.91935483870967,61.875,0.4044562869466728
ImplicitDefinitions,952,145,62,98,-0.48244644484958954,40.32921810699588,61.25000000000001,0.4053900310520891
ImplicitConversions baseline,773,117,44,58,-0.7593302489535136,33.14285714285714,56.86274509803921,0.34834708946229165
ImplicitConversions,776,114,44,58,-0.7265476977307774,33.72093023255814,56.86274509803921,0.3534328273128707
ImplicitParameters baseline,329,77,28,87,-0.17166416791604178,53.04878048780488,75.65217391304347,0.5062170263400182
ImplicitParameters,324,82,27,88,-0.21629899336046243,51.76470588235295,76.52173913043478,0.498233316525326
OverridingPatternVariables baseline,58,20,12,41,-0.014029995162070596,67.21311475409836,77.35849056603774,0.508871967374475
OverridingPatternVariables,58,20,12,41,-0.014029995162070596,67.21311475409836,77.35849056603774,0.508871967374475
UsageOfNull baseline,191,20,8,26,0.043769166434346474,56.52173913043478,76.47058823529412,0.5930586248780366
UsageOfNull,192,19,8,26,0.07792026763311977,57.77777777777777,76.47058823529412,0.6023423801849631
FunctionVariables baseline,207,35,29,46,-0.11779614325068866,56.79012345679012,61.33333333333333,0.456709039128526
FunctionVariables,209,33,29,46,-0.08286501377410471,58.22784810126582,61.33333333333333,0.468626753703982
