name,tn,fp,fn,tp,r2,precision,recall,mcc
ImplicitDefinitions baseline,157,32,44,99,0.06641506641506656,75.57251908396947,69.23076923076923,0.5298625380943852
ImplicitDefinitions,154,35,44,99,0.029563029563029697,73.88059701492537,69.23076923076923,0.5118312665200295
ImplicitConversions baseline,113,18,17,57,0.2598514545079432,76.0,77.02702702702703,0.6310456124658963
ImplicitConversions,112,19,17,57,0.23870435320817018,75.0,77.02702702702703,0.6217146841874468
ImplicitParameters baseline,63,18,20,75,0.13086419753086442,80.64516129032258,78.94736842105263,0.5663689232010268
ImplicitParameters,62,19,19,76,0.13086419753086442,80.0,80.0,0.5654320987654321
OverridingPatternVariables baseline,49,13,9,42,0.2137887413029731,76.36363636363637,82.35294117647058,0.6111520333933798
OverridingPatternVariables,48,14,10,41,0.14231499051233432,74.54545454545455,80.3921568627451,0.5755723426291077
UsageOfNull baseline,9,9,5,24,-0.26053639846743226,72.72727272727273,82.75862068965517,0.3482089031241985
UsageOfNull,9,9,5,24,-0.26053639846743226,72.72727272727273,82.75862068965517,0.3482089031241985
FunctionVariables baseline,133,32,39,59,-0.15479282622139778,64.83516483516483,60.204081632653065,0.41479947571779474
FunctionVariables,135,30,37,61,-0.0897340754483611,67.03296703296702,62.244897959183675,0.4478627465508846
