name,tn,fp,fn,tp,r2,precision,recall,mcc
ImplicitDefinitions baseline,961,136,60,100,-0.4036690975387418,42.3728813559322,62.5,0.42761633173120345
ImplicitDefinitions,955,142,62,98,-0.46096171376481276,40.833333333333336,61.25000000000001,0.40963281912940896
ImplicitConversions baseline,753,137,42,60,-0.9560255562899314,30.456852791878177,58.82352941176471,0.3306518454573659
ImplicitConversions,770,120,47,55,-0.8248953513989863,31.428571428571427,53.92156862745098,0.322225007664182
ImplicitParameters baseline,330,76,26,89,-0.13818804883272628,53.939393939393945,77.39130434782608,0.5230901514491921
ImplicitParameters,325,81,30,85,-0.23861640608267276,51.204819277108435,73.91304347826086,0.4803239092218775
OverridingPatternVariables baseline,59,19,10,43,0.08103531688437349,69.35483870967742,81.13207547169812,0.5580941411509437
OverridingPatternVariables,59,19,13,40,-0.014029995162070596,67.79661016949152,75.47169811320755,0.504222250969385
UsageOfNull baseline,192,19,9,25,0.043769166434346474,56.81818181818182,73.52941176470588,0.5811418179821869
UsageOfNull,191,20,9,25,0.00961806523557307,55.55555555555556,73.52941176470588,0.5718519084607242
FunctionVariables baseline,201,41,34,41,-0.3099173553719008,50.0,54.666666666666664,0.36611806287735454
FunctionVariables,204,38,32,43,-0.2225895316804407,53.086419753086425,57.333333333333336,0.4056534030392785
