name,tn,fp,fn,tp,r2,precision,recall,mcc
ImplicitDefinitions baseline,155,57,25,75,-0.20679245283018854,56.81818181818182,75.0,0.4544739795148145
ImplicitDefinitions,146,66,24,76,-0.3245283018867924,53.52112676056338,76.0,0.4204702550014851
ImplicitConversions baseline,217,56,60,86,-0.2194289728536305,60.56338028169014,58.9041095890411,0.3864616372977326
ImplicitConversions,214,59,63,83,-0.28250288524261147,58.45070422535211,56.849315068493155,0.35471531145253266
ImplicitParameters baseline,216,51,53,88,-0.12710176109650195,63.30935251798561,62.4113475177305,0.434582341964359
ImplicitParameters,218,49,58,83,-0.15961431189736253,62.878787878787875,58.86524822695035,0.41183201326879626
OverridingPatternVariables baseline,116,32,29,74,-0.004395171870900327,69.81132075471697,71.84466019417476,0.5001675602849477
OverridingPatternVariables,115,33,28,75,-0.004395171870900327,69.44444444444444,72.81553398058253,0.5019006485413251
UsageOfNull baseline,52,15,10,31,0.017109574080815038,67.3913043478261,75.60975609756098,0.5223279699321053
UsageOfNull,47,20,12,29,-0.25809974517655676,59.183673469387756,70.73170731707317,0.3984982152956449
UnitVariables baseline,151,61,19,73,-0.2469237079573421,54.47761194029851,79.34782608695652,0.46796606353074804
UnitVariables,164,48,17,75,-0.01312551271534046,60.97560975609756,81.52173913043478,0.5511115292176055
FunctionVariables baseline,830,119,42,124,-0.13953178361496543,51.028806584362144,74.69879518072288,0.5359592190146105
FunctionVariables,828,121,40,126,-0.13953178361496543,51.012145748987855,75.90361445783132,0.5413463475002207
