name,tn,fp,fn,tp,r2,precision,recall,mcc
NumberOfLambdaFunctions baseline,317,54,53,158,0.20448129175662022,74.52830188679245,74.88151658767772,0.6026508802742727
NumberOfLambdaFunctions,321,50,55,156,0.21935080032191712,75.72815533980582,73.93364928909952,0.6077767525218571
SourceLinesOfLambda baseline,317,54,53,158,0.20448129175662022,74.52830188679245,74.88151658767772,0.6026508802742727
SourceLinesOfLambda,321,50,57,154,0.20448129175662022,75.49019607843137,72.98578199052133,0.5995806533169262
LambdaScore baseline,317,54,53,158,0.20448129175662022,74.52830188679245,74.88151658767772,0.6026508802742727
LambdaScore,318,53,55,156,0.19704653747397183,74.64114832535886,73.93364928909952,0.5977175898490957
LambdaFunctionsUsingOuterVariables baseline,7,4,1,10,0.09090909090909094,71.42857142857143,90.9090909090909,0.5669467095138409
LambdaFunctionsUsingOuterVariables,7,4,1,10,0.09090909090909094,71.42857142857143,90.9090909090909,0.5669467095138409
LambdaFunctionsWithSideEffects baseline,23,8,16,76,-0.03506311360448833,90.47619047619048,82.6086956521739,0.5299907714070249
LambdaFunctionsWithSideEffects,23,8,16,76,-0.03506311360448833,90.47619047619048,82.6086956521739,0.5299907714070249
LambdaFunctionsWithAssignment baseline,7,6,6,74,-0.07307692307692282,92.5,92.5,0.4634615384615385
LambdaFunctionsWithAssignment,7,6,6,74,-0.07307692307692282,92.5,92.5,0.4634615384615385
