name,tn,fp,fn,tp,r2,precision,recall,mcc
NumberOfLambdaFunctions baseline,635,177,78,141,-0.47842297051083116,44.339622641509436,64.38356164383562,0.3771410666707828
NumberOfLambdaFunctions,627,185,81,138,-0.5421980790426708,42.72445820433436,63.013698630136986,0.3547619589674027
SourceLinesOfLambda baseline,635,177,78,141,-0.47842297051083116,44.339622641509436,64.38356164383562,0.3771410666707828
SourceLinesOfLambda,622,190,80,139,-0.5653890275997036,42.24924012158054,63.4703196347032,0.35161472296618107
LambdaScore baseline,635,177,78,141,-0.47842297051083116,44.339622641509436,64.38356164383562,0.3771410666707828
LambdaScore,632,180,80,139,-0.507411656207122,43.573667711598745,63.4703196347032,0.36546396695889477
LambdaFunctionsUsingInnerVariables baseline,9,2,4,7,-0.09090909090909083,77.77777777777779,63.63636363636363,0.46225016352102427
LambdaFunctionsUsingInnerVariables,8,3,4,7,-0.2727272727272727,70.0,63.63636363636363,0.3651483716701107
LambdaFunctionsWithSideEffects baseline,117,53,38,79,-0.3130718954248366,59.84848484848485,67.52136752136752,0.3583505030756225
LambdaFunctionsWithSideEffects,118,52,38,79,-0.29864253393665163,60.30534351145038,67.52136752136752,0.3643641042965035
