name,count,precision,recall,mcc
LambdaFunctionsUsingInnerVariables,2,67.75862068965517,64.20454545454545,0.31404396727239753
LambdaFunctionsUsingInnerVariables baseline,2,71.30647130647131,65.3409090909091,0.36159533147648226
LambdaFunctionsUsingOuterVariables,2,70.26484751203853,81.63101604278074,0.5368072975228475
LambdaFunctionsUsingOuterVariables baseline,2,68.57547551598543,79.57219251336899,0.5060615651430604
LambdaFunctionsWithAssignment,2,75.51136363636364,80.69816053511705,0.41741352181767644
LambdaFunctionsWithAssignment baseline,2,74.91666666666667,82.20317725752508,0.41699388049320735
LambdaFunctionsWithSideEffects,5,69.76744186046511,65.8322903629537,0.3369433439156765
LambdaFunctionsWithSideEffects baseline,5,72.5,67.08385481852316,0.3583505030756225
LambdaScore,7,64.48598130841121,67.46031746031747,0.4812881337508276
LambdaScore baseline,7,64.19753086419753,68.10344827586206,0.47169372086298494
NumberOfLambdaFunctions,7,64.30769230769229,64.65517241379311,0.4432205510405002
NumberOfLambdaFunctions baseline,7,64.19753086419753,68.10344827586206,0.47169372086298494
SourceLinesOfLambda,7,64.76190476190476,66.66666666666666,0.47169372086298494
SourceLinesOfLambda baseline,7,64.19753086419753,68.10344827586206,0.47169372086298494
