name,count,mean,std,min,25%,50%,75%,max
IsRecursive,2723,0.0020067871783371756,0.03649238242884706,0.0,0.0,0.0,0.0,1.0
IsNested,2723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HasNestedMethods,2723,0.17411171662551175,0.3217443462102811,0.0,0.0,0.0,0.16666666666666666,1.0
HasFunctions,2723,0.13813754728618308,0.3074981577205494,0.0,0.0,0.0,0.0,1.0
IsFunction,2723,0.0031674623576937204,0.05501421109960064,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,2723,0.03993800967010181,0.17883677341379622,0.0,0.0,0.0,0.0,1.0
HasHigherOrderCalls,2723,0.09437206370570454,0.25723508179238097,0.0,0.0,0.0,0.0,1.0
HasFunctionCalls,2723,0.033356511003814204,0.16037574109196848,0.0,0.0,0.0,0.0,1.0
HasCurrying,2723,0.0016648304566042355,0.029739579758074838,0.0,0.0,0.0,0.0,1.0
HasPatternMatching,2723,0.1640432304305085,0.33568198326334714,0.0,0.0,0.0,0.0,1.0
HasLazyValues,2723,0.010276470563297375,0.09595020443993807,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,2723,0.048599843494555095,0.18979325421883436,0.0,0.0,0.0,0.0,1.0
FunctionalScoreBool,2723,0.7096744727723114,0.9883520174277621,0.0,0.0,0.5,1.0,6.0
HasVariables,2723,0.008906328754139343,0.09250407188083444,0.0,0.0,0.0,0.0,1.0
HasVariableDefinitions,2723,0.005184047990155008,0.07153395553967014,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,2723,0.005184047990155008,0.07153395553967014,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,2723,0.0037649405793321452,0.05898218511111555,0.0,0.0,0.0,0.0,1.0
HasOuterVariableAssignment,2723,0.002570694087403599,0.04879896659610703,0.0,0.0,0.0,0.0,1.0
HasSideEffects,2723,0.031121364831744634,0.1563477073705664,0.0,0.0,0.0,0.0,1.0
IsSideEffect,2723,0.005282164279593585,0.06014979933830084,0.0,0.0,0.0,0.0,1.0
HasSideEffectCalls,2723,0.013499349951789544,0.10489133723524764,0.0,0.0,0.0,0.0,1.0
HasSideEffectFunctions,2723,0.0007344840249724568,0.027096387074426766,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,2723,0.07624742248928533,0.4937225616297063,0.0,0.0,0.0,0.0,5.25
HasPointsBool,2723,0.4028424201524489,0.42537640567660095,0.0,0.0,0.3333333333333333,1.0,1.0
ParadigmScoreBool,2723,0.36879716638128357,0.42606791150719575,-1.0,0.0,0.0,0.75,1.0
CountRecursiveCalls,2723,0.0031689256017538472,0.06155518865364665,0.0,0.0,0.0,0.0,2.0
CountNestedDepth,2723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CountNestedMethods,2723,0.25027391139720034,0.9088049486545318,0.0,0.0,0.0,0.17823529411764705,16.0
CountFunctions,2723,0.2976227702940657,0.9278943704448094,0.0,0.0,0.0,0.0,10.0
CountFunctionParameters,2723,0.04409746265438035,0.20301703736817775,0.0,0.0,0.0,0.0,2.0
CountHigherOrderCalls,2723,0.19004455262126613,0.8144206402115495,0.0,0.0,0.0,0.0,10.0
CountFunctionCalls,2723,0.037438921818350956,0.18429207028363778,0.0,0.0,0.0,0.0,2.0
CountCurrying,2723,0.0016648304566042355,0.029739579758074838,0.0,0.0,0.0,0.0,1.0
CountPatternMatching,2723,0.23961673215976884,0.817162849560172,0.0,0.0,0.0,0.0,13.0
CountLazyValues,2723,0.027352483799471337,0.2983437410761103,0.0,0.0,0.0,0.0,4.0
CountParameterLists,2723,0.05450178190088908,0.2274127150613751,0.0,0.0,0.0,0.0,4.0
FunctionalScoreCount,2723,1.1489498350614447,3.1420519124639346,0.0,0.0,0.5,1.0,49.0
CountVariables,2723,0.06726535437732,0.7645291673466017,0.0,0.0,0.0,0.0,10.0
CountVariableDefinitions,2723,0.010368095980310016,0.14306791107934028,0.0,0.0,0.0,0.0,2.0
CountInnerVariableAssignment,2723,0.010368095980310016,0.14306791107934028,0.0,0.0,0.0,0.0,2.0
CountOuterVariableUsage,2723,0.010467107307205814,0.17957039712457135,0.0,0.0,0.0,0.0,4.0
CountOuterVariableAssignment,2723,0.004957767168564084,0.09522599697990664,0.0,0.0,0.0,0.0,2.0
CountSideEffects,2723,0.12372807036906108,0.88996747947012,0.0,0.0,0.0,0.0,14.0
CountSideEffectCalls,2723,0.02983512863500077,0.2672496653531416,0.0,0.0,0.0,0.0,3.0
CountSideEffectFunctions,2723,0.0007344840249724568,0.027096387074426766,0.0,0.0,0.0,0.0,1.0
ImperativeScoreCount,2723,0.26300626812233785,2.170412759919072,0.0,0.0,0.0,0.0,26.0
HasPointsCount,2723,0.40271574247663927,0.42535357832472825,0.0,0.0,0.3333333333333333,1.0,1.0
