name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,4108,494,506,57,-0.9934957617469584,10.344827586206897,10.124333925399645,-0.006159349218758207
IsNested,4459,143,541,22,-0.3635511010349195,13.333333333333334,3.9076376554174073,0.014182394474340127
HasNestedMethods,4386,216,495,68,-0.41737548660208756,23.943661971830984,12.078152753108348,0.10095723630610538
HasFunctions,3436,1166,312,251,-1.9463867358620046,17.71347918136909,44.58259325044405,0.13442448362944084
IsFunction,4530,72,549,14,-0.23796086804486127,16.27906976744186,2.4866785079928952,0.022458806296853484
HasFunctionParameters,4258,344,510,53,-0.7024453805319024,13.350125944584383,9.41385435168739,0.02268333359935504
HasHigherOrderCalls,3674,928,367,196,-1.5815770114623113,17.437722419928825,34.81349911190053,0.1106340310090315
HasFunctionCalls,4446,156,530,33,-0.3675380925584135,17.46031746031746,5.86145648312611,0.04102410993294458
HasCurrying,3209,1393,397,166,-2.5683574135270555,10.647851186658114,29.484902309058615,-0.0053261067147828325
HasPatternMatching,3893,709,350,213,-1.1111120116900288,23.10195227765727,37.83303730017762,0.18251171723096143
HasLazyValues,4509,93,533,30,-0.247928346853596,24.390243902439025,5.328596802841918,0.06760898383482214
HasMultipleParameterLists,3910,692,424,139,-1.2247412701096057,16.726835138387486,24.68916518650089,0.08186720507259546
FunctionalScoreBool,3278,1324,277,286,-2.1915867145568804,17.763975155279503,50.799289520426285,0.14821538420878444
HasVariables,4433,169,511,52,-0.3555771179879317,23.52941176470588,9.236234458259325,0.08567869900725153
HasVariableDefinitions,4559,43,540,23,-0.16220802909847687,34.84848484848485,4.085257548845471,0.08742689580372252
HasInnerVariableAssignment,4510,92,529,34,-0.23796086804486127,26.984126984126984,6.039076376554174,0.08161041120571598
HasOuterVariableUsage,4477,125,528,35,-0.30175273242076384,21.875,6.216696269982238,0.06296421718981647
HasOuterVariableAssignment,4550,52,547,16,-0.19410396128642815,23.52941176470588,2.841918294849023,0.04680724683930168
HasSideEffects,4068,534,432,131,-0.9257169058475618,19.69924812030075,23.26820603907638,0.10853720086981307
IsSideEffect,4286,316,514,49,-0.6546014822499755,13.424657534246576,8.703374777975133,0.02233680996072029
HasSideEffectCalls,4231,371,456,107,-0.6486209949647346,22.384937238493723,19.005328596802844,0.11768657856871795
HasSideEffectFunctions,4586,16,559,4,-0.146260063004501,20.0,0.7104795737122558,0.018205082930049167
ImperativeScoreBool,4037,565,424,139,-0.9715673083677419,19.744318181818183,24.68916518650089,0.11273613370564163
HasPointsBool,2384,2218,148,415,-3.716610972293304,15.761488796050132,73.71225577264654,0.15906687336762004
ParadigmScoreBool,2933,1669,276,287,-2.8773492565978342,14.672801635991819,50.97690941385436,0.0945089477933571
CountRecursiveCalls,44,4558,7,556,-8.100308152374865,10.87211576065702,98.75666074600356,-0.009053087359519273
CountNestedDepth,4459,143,541,22,-0.3635511010349195,13.333333333333334,3.9076376554174073,0.014182394474340127
CountNestedMethods,4386,216,495,68,-0.41737548660208756,23.943661971830984,12.078152753108348,0.10095723630610538
CountFunctions,3436,1166,312,251,-1.9463867358620046,17.71347918136909,44.58259325044405,0.13442448362944084
CountFunctionParameters,4258,344,510,53,-0.7024453805319024,13.350125944584383,9.41385435168739,0.02268333359935504
CountHigherOrderCalls,3674,928,367,196,-1.5815770114623113,17.437722419928825,34.81349911190053,0.1106340310090315
CountFunctionCalls,4446,156,530,33,-0.3675380925584135,17.46031746031746,5.86145648312611,0.04102410993294458
CountCurrying,3669,933,451,112,-1.7589981342577907,10.717703349282298,19.893428063943162,-0.0029506817514265205
CountPatternMatching,3893,709,350,213,-1.1111120116900288,23.10195227765727,37.83303730017762,0.18251171723096143
CountLazyValues,4509,93,533,30,-0.247928346853596,24.390243902439025,5.328596802841918,0.06760898383482214
CountParameterLists,3910,692,424,139,-1.2247412701096057,16.726835138387486,24.68916518650089,0.08186720507259546
FunctionalScoreCount,3650,952,326,237,-1.5476875835126127,19.932716568544993,42.09591474245116,0.15849478615660684
CountVariables,4433,169,511,52,-0.3555771179879317,23.52941176470588,9.236234458259325,0.08567869900725153
CountVariableDefinitions,4559,43,540,23,-0.16220802909847687,34.84848484848485,4.085257548845471,0.08742689580372252
CountInnerVariableAssignment,4510,92,529,34,-0.23796086804486127,26.984126984126984,6.039076376554174,0.08161041120571598
CountOuterVariableUsage,4477,125,528,35,-0.30175273242076384,21.875,6.216696269982238,0.06296421718981647
CountOuterVariableAssignment,4550,52,547,16,-0.19410396128642815,23.52941176470588,2.841918294849023,0.04680724683930168
CountSideEffects,4072,530,432,131,-0.917742922800574,19.818456883509832,23.26820603907638,0.1096276071292161
CountSideEffectCalls,4231,371,456,107,-0.6486209949647346,22.384937238493723,19.005328596802844,0.11768657856871795
CountSideEffectFunctions,4586,16,559,4,-0.146260063004501,20.0,0.7104795737122558,0.018205082930049167
ImperativeScoreCount,4064,538,427,136,-0.9237234100858149,20.178041543026705,24.156305506216697,0.11533044307642487
HasPointsCount,2386,2216,148,415,-3.71262398076981,15.773470163435958,73.71225577264654,0.15933543510768075
ParadigmScoreCount,2910,1692,274,289,-2.9192126675945205,14.58859162039374,51.332149200710475,0.09335227579068743
FractionRecursiveCalls,44,4558,7,556,-8.100308152374865,10.87211576065702,98.75666074600356,-0.009053087359519273
FractionNestedMethods,4388,214,495,68,-0.41338849507859354,24.113475177304963,12.078152753108348,0.1018899903452945
FractionFunctions,3595,1007,393,170,-1.790894066445742,14.443500424808835,30.19538188277087,0.06176612726001438
FractionHigherOrderCalls,3766,836,407,156,-1.4779152318514694,15.725806451612904,27.708703374777976,0.07549500672163745
FractionFunctionCalls,156,4446,33,530,-7.928867516864626,10.65112540192926,94.13854351687388,-0.04102410993294458
FractionCurrying,4122,480,506,57,-0.9655868210825009,10.614525139664805,10.124333925399645,-0.003123508883253857
FractionPatternMatching,3921,681,363,200,-1.0812095752638244,22.701475595913735,35.52397868561279,0.1717242663315765
FractionLazyValues,93,4509,30,533,-8.048477262569444,10.571201904006347,94.67140319715807,-0.06760898383482214
FunctionalScoreFraction,2980,1622,243,320,-2.7178695956580774,16.4778578784758,56.838365896980456,0.13892554628264672
FractionVariables,4433,169,511,52,-0.3555771179879317,23.52941176470588,9.236234458259325,0.08567869900725153
FractionVariableDefinitions,4559,43,540,23,-0.16220802909847687,34.84848484848485,4.085257548845471,0.08742689580372252
FractionInnerVariableAssignment,4510,92,529,34,-0.23796086804486127,26.984126984126984,6.039076376554174,0.08161041120571598
FractionOuterVariableUsage,4477,125,528,35,-0.30175273242076384,21.875,6.216696269982238,0.06296421718981647
FractionOuterVariableAssignment,4096,506,497,66,-0.9994762490321993,11.538461538461538,11.72291296625222,0.0072265291865279075
FractionSideEffects,4091,511,455,108,-0.9257169058475618,17.447495961227787,19.182948490230906,0.07752279200982985
FractionSideEffectCalls,4241,361,466,97,-0.6486209949647346,21.17903930131004,17.2291296625222,0.10288302316074623
FractionSideEffectFunctions,4586,16,559,4,-0.146260063004501,20.0,0.7104795737122558,0.018205082930049167
ImperativeScoreFraction,4084,518,453,110,-0.9356843846562968,17.51592356687898,19.538188277087034,0.07897864314230625
HasPointsFraction,2384,2218,148,415,-3.716610972293304,15.761488796050132,73.71225577264654,0.15906687336762004
ParadigmScoreFraction,2870,1732,235,328,-2.9212061633562674,15.922330097087379,58.259325044404974,0.1312579959304744
FunctionalCallsLandkroon,3759,843,340,223,-1.358305486146652,20.91932457786116,39.60923623445826,0.163948830049278
ImperativeCallsLandkroon,4509,93,533,30,-0.247928346853596,24.390243902439025,5.328596802841918,0.06760898383482214
FunctionalPointsLandkroon,3390,1212,309,254,-2.032107053617124,17.32605729877217,45.11545293072824,0.12980535423338732
ImperativePointsLandkroon,4364,238,491,72,-0.45325841031353264,23.225806451612904,12.788632326820604,0.09993880729190205
HasPointsLandkroon,3265,1337,284,279,-2.2314566297918197,17.26485148514851,49.55595026642984,0.13780943677577576
ParadigmScoreLandkroon,3415,1187,324,239,-2.012172095999654,16.760168302945303,42.45115452930728,0.11612170859575245
