name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,137,2518,12,361,-6.735760843771931,12.539076068079194,96.7828418230563,0.02952072331475405
IsNested,132,2523,10,363,-6.744933682717115,12.577962577962579,97.31903485254692,0.035610569041092804
HasNestedMethods,2506,149,313,60,-0.4126171975583526,28.708133971291865,16.0857908847185,0.135789975467173
HasFunctions,1495,1160,137,236,-2.9657240373012628,16.9054441260745,63.27077747989276,0.12908873474491397
IsFunction,2409,246,289,84,-0.6358229452244992,25.454545454545453,22.5201072386059,0.1397894499373602
HasFunctionParameters,2291,364,302,71,-1.036370245830872,16.32183908045977,19.034852546916888,0.04989418278583516
HasHigherOrderCalls,804,1851,92,281,-4.940942023497574,13.180112570356473,75.33512064343164,0.04044737948855874
HasFunctionCalls,2377,278,292,81,-0.7428393995849805,22.56267409470752,21.715817694369974,0.11432071509294868
HasCurrying,2006,649,290,83,-1.8710985898426258,11.33879781420765,22.25201072386059,-0.016829517667421738
HasPatternMatching,1912,743,255,118,-2.05149775576458,13.704994192799072,31.63538873994638,0.02659515985950117
HasLazyValues,5,2650,0,373,-7.102674401579295,12.338736354614621,100.0,0.015243618870949289
HasMultipleParameterLists,2363,292,320,53,-0.871259144817558,15.36231884057971,14.209115281501342,0.033212907826786334
FunctionalScoreBool,1384,1271,116,257,-3.240909205656786,16.819371727748692,68.90080428954424,0.13822773626205223
HasVariables,2375,280,335,38,-0.8804319837627421,11.949685534591195,10.187667560321715,-0.0038427618370017024
HasVariableDefinitions,2648,7,371,2,-0.1557777070931976,22.22222222222222,0.5361930294906166,0.016453693186306385
HasInnerVariableAssignment,2643,12,370,3,-0.16800815902010968,20.0,0.8042895442359249,0.016491839344757356
HasOuterVariableUsage,9,2646,0,373,-7.090443949652384,12.355084465054654,100.0,0.020465004826391457
HasOuterVariableAssignment,3,2652,0,373,-7.108789627542752,12.330578512396695,100.0,0.01180375240173838
HasSideEffects,1550,1105,229,144,-3.0788557176252,11.529223378702962,38.605898123324394,-0.020119431795033463
IsSideEffect,52,2603,5,368,-6.974254656346718,12.386401884887244,98.65951742627345,0.014946756077727455
HasSideEffectCalls,93,2562,8,365,-6.858065363041052,12.470105910488554,97.85522788203752,0.02485600152338551
HasSideEffectFunctions,15,2640,0,373,-7.072098271762014,12.379688018586126,100.0,0.026446500754920436
ImperativeScoreBool,132,2523,19,354,-6.772452199552667,12.304483837330553,94.90616621983914,-0.0018432371615617294
HasPointsBool,1043,1612,63,310,-4.12150174439446,16.129032258064516,83.10991957104558,0.15285149678838827
ParadigmScoreBool,1174,1481,82,291,-3.77904909044092,16.42212189616253,78.01608579088472,0.14831605969575407
CountRecursiveCalls,137,2518,12,361,-6.735760843771931,12.539076068079194,96.7828418230563,0.02952072331475405
CountNestedDepth,132,2523,10,363,-6.744933682717115,12.577962577962579,97.31903485254692,0.035610569041092804
CountNestedMethods,2506,149,313,60,-0.4126171975583526,28.708133971291865,16.0857908847185,0.135789975467173
CountFunctions,1925,730,271,102,-2.060670594709764,12.259615384615383,27.34584450402145,-0.001100264766164838
CountFunctionParameters,2291,364,302,71,-1.036370245830872,16.32183908045977,19.034852546916888,0.04989418278583516
CountHigherOrderCalls,1407,1248,224,149,-3.5008063091036687,10.66571224051539,39.946380697050934,-0.04653944798337596
CountFunctionCalls,2377,278,292,81,-0.7428393995849805,22.56267409470752,21.715817694369974,0.11432071509294868
CountCurrying,845,1810,127,246,-4.9225963456072055,11.964980544747082,65.95174262734585,-0.015638363891777033
CountPatternMatching,1440,1215,218,155,-3.3815594028162757,11.313868613138686,41.55495978552279,-0.02778332858103097
CountLazyValues,5,2650,0,373,-7.102674401579295,12.338736354614621,100.0,0.015243618870949289
CountParameterLists,2363,292,320,53,-0.871259144817558,15.36231884057971,14.209115281501342,0.033212907826786334
FunctionalScoreCount,1878,777,264,109,-2.1829751139788853,12.302483069977427,29.2225201072386,-0.0003107394024797082
CountVariables,16,2639,3,370,-7.078213497725471,12.296444001329347,99.19571045576407,-0.008392734640524186
CountVariableDefinitions,2382,273,336,37,-0.862086305872374,11.935483870967742,9.919571045576408,-0.003934466220800857
CountInnerVariableAssignment,12,2643,3,370,-7.090443949652384,12.280119482243611,99.19571045576407,-0.016491839344757356
CountOuterVariableUsage,9,2646,0,373,-7.090443949652384,12.355084465054654,100.0,0.020465004826391457
CountOuterVariableAssignment,3,2652,0,373,-7.108789627542752,12.330578512396695,100.0,0.01180375240173838
CountSideEffects,132,2523,19,354,-6.772452199552667,12.304483837330553,94.90616621983914,-0.0018432371615617294
CountSideEffectCalls,93,2562,8,365,-6.858065363041052,12.470105910488554,97.85522788203752,0.02485600152338551
CountSideEffectFunctions,15,2640,0,373,-7.072098271762014,12.379688018586126,100.0,0.026446500754920436
ImperativeScoreCount,132,2523,19,354,-6.772452199552667,12.304483837330553,94.90616621983914,-0.0018432371615617294
HasPointsCount,1043,1612,63,310,-4.12150174439446,16.129032258064516,83.10991957104558,0.15285149678838827
ParadigmScoreCount,1159,1496,80,293,-3.8187980592033846,16.377864728898825,78.55227882037534,0.1484265359519924
FractionRecursiveCalls,137,2518,12,361,-6.735760843771931,12.539076068079194,96.7828418230563,0.02952072331475405
FractionNestedMethods,2507,148,313,60,-0.40955958457662467,28.846153846153843,16.0857908847185,0.13658126832131381
FractionFunctions,1736,919,191,182,-2.39395040971812,16.530426884650318,48.793565683646115,0.09687619030086558
FractionHigherOrderCalls,751,1904,82,291,-5.07241938171188,13.257403189066059,78.01608579088472,0.04638190869914568
FractionFunctionCalls,2384,271,295,78,-0.7306089476580684,22.349570200573066,20.91152815013405,0.11016630801688194
FractionCurrying,154,2501,23,350,-6.717415165881563,12.276394247632409,93.8337801608579,-0.005125030019516937
FractionPatternMatching,1941,714,264,109,-1.9903454961300193,13.24422843256379,29.2225201072386,0.01721128011957479
FractionLazyValues,5,2650,0,373,-7.102674401579295,12.338736354614621,100.0,0.015243618870949289
FunctionalScoreFraction,1639,1016,174,199,-2.638559448256363,16.378600823045268,53.35120643431635,0.10113698749946924
FractionVariables,16,2639,3,370,-7.078213497725471,12.296444001329347,99.19571045576407,-0.008392734640524186
FractionVariableDefinitions,268,2387,40,333,-6.420826706653943,12.242647058823529,89.27613941018767,-0.006846358200717145
FractionInnerVariableAssignment,12,2643,3,370,-7.090443949652384,12.280119482243611,99.19571045576407,-0.016491839344757356
FractionOuterVariableUsage,9,2646,0,373,-7.090443949652384,12.355084465054654,100.0,0.020465004826391457
FractionOuterVariableAssignment,3,2652,0,373,-7.108789627542752,12.330578512396695,100.0,0.01180375240173838
FractionSideEffects,132,2523,19,354,-6.772452199552667,12.304483837330553,94.90616621983914,-0.0018432371615617294
FractionSideEffectCalls,93,2562,8,365,-6.858065363041052,12.470105910488554,97.85522788203752,0.02485600152338551
FractionSideEffectFunctions,15,2640,0,373,-7.072098271762014,12.379688018586126,100.0,0.026446500754920436
ImperativeScoreFraction,132,2523,19,354,-6.772452199552667,12.304483837330553,94.90616621983914,-0.0018432371615617294
HasPointsFraction,1043,1612,63,310,-4.12150174439446,16.129032258064516,83.10991957104558,0.15285149678838827
ParadigmScoreFraction,1136,1519,72,301,-3.864662253929305,16.538461538461537,80.6970509383378,0.15761375592538934
FunctionalCallsLandkroon,1304,1351,209,164,-3.7698762514957362,10.825082508250825,43.96782841823057,-0.04546708717284303
ImperativeCallsLandkroon,13,2642,0,373,-7.078213497725471,12.371475953565506,100.0,0.024612185014954765
FunctionalPointsLandkroon,1522,1133,211,162,-3.1094318474424805,12.509652509652511,43.43163538873995,0.0050315097811246155
ImperativePointsLandkroon,26,2629,3,370,-7.047637367908191,12.337445815271757,99.19571045576407,0.00590506458936576
HasPointsLandkroon,1517,1138,204,169,-3.103316621479024,12.930374904361134,45.30831099195711,0.01622845449595114
ParadigmScoreLandkroon,1535,1120,204,169,-3.0482795878079196,13.110938712179983,45.30831099195711,0.020762860786892268
