name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,820,6553,50,391,-14.868354014601906,5.630760368663594,88.66213151927438,-0.001586168901913406
IsNested,7161,212,418,23,-0.5140183294258975,9.787234042553191,5.215419501133787,0.03161761919544123
HasNestedMethods,5839,1534,322,119,-3.4603460625626443,7.1990320629159115,26.984126984126984,0.034910925431665754
HasFunctions,6044,1329,297,144,-2.907609212137316,9.775967413441954,32.6530612244898,0.08630603919955915
IsFunction,34,7339,0,441,-16.637111935962956,5.668380462724936,100.0,0.016167647724641906
HasFunctionParameters,7114,259,419,22,-0.6293721069059659,7.829181494661921,4.988662131519274,0.018291319875166693
HasHigherOrderCalls,6346,1027,318,123,-2.232308973139416,10.695652173913043,27.89115646258503,0.09094341143962158
HasFunctionCalls,246,7127,10,431,-16.151664789067667,5.702566816618153,97.73242630385488,0.013856863868280007
HasCurrying,6628,745,398,43,-1.7468618262441282,5.456852791878172,9.750566893424036,-0.0027118507038100628
HasPatternMatching,6283,1090,311,130,-2.3668883801994958,10.655737704918032,29.47845804988662,0.09342225522192063
HasLazyValues,7328,45,435,6,-0.15353777480068387,11.76470588235294,1.3605442176870748,0.02149928035203044
HasMultipleParameterLists,6899,474,406,35,-1.1148192538012536,6.8762278978389,7.936507936507936,0.01409846249607638
FunctionalScoreBool,5770,1603,270,171,-3.5012005254201677,9.63923337091319,38.775510204081634,0.09383466602622573
HasVariables,7322,51,436,5,-0.17036020068319369,8.928571428571429,1.1337868480725624,0.012093926578440495
HasVariableDefinitions,23,7350,1,440,-16.665950380332973,5.648267008985879,99.77324263038548,0.0035527447609377694
HasInnerVariableAssignment,23,7350,1,440,-16.665950380332973,5.648267008985879,99.77324263038548,0.0035527447609377694
HasOuterVariableUsage,7338,35,436,5,-0.1319089415231709,12.5,1.1337868480725624,0.0213122104274254
HasOuterVariableAssignment,6620,753,398,43,-1.7660874558241395,5.402010050251256,9.750566893424036,-0.0035275235223750983
HasSideEffects,7065,308,394,47,-0.687048995646,13.239436619718308,10.657596371882086,0.0718083301044887
IsSideEffect,42,7331,0,441,-16.617886306382943,5.6742151312403495,100.0,0.017978581659779173
HasSideEffectCalls,4404,2969,272,169,-6.788783183602117,5.38559592096877,38.32199546485261,-0.0091631265985064
HasSideEffectFunctions,6634,739,398,43,-1.7324426040591199,5.498721227621484,9.750566893424036,-0.002095315871318393
ImperativeScoreBool,7056,317,392,49,-0.70387142152851,13.387978142076504,11.11111111111111,0.07439311200845293
HasPointsBool,4012,3361,162,279,-7.4664866262975185,7.664835164835165,63.26530612244898,0.08178964016776527
ParadigmScoreBool,4276,3097,181,260,-6.87770172040967,7.745010425975574,58.95691609977324,0.07902657739711787
CountRecursiveCalls,2952,4421,182,259,-10.061946619599057,5.534188034188034,58.730158730158735,-0.005800054296739865
CountNestedDepth,7161,212,418,23,-0.5140183294258975,9.787234042553191,5.215419501133787,0.03161761919544123
CountNestedMethods,5839,1534,322,119,-3.4603460625626443,7.1990320629159115,26.984126984126984,0.034910925431665754
CountFunctions,6045,1328,297,144,-2.905206008439815,9.782608695652174,32.6530612244898,0.08640858748230992
CountFunctionParameters,7114,259,419,22,-0.6293721069059659,7.829181494661921,4.988662131519274,0.018291319875166693
CountHigherOrderCalls,6346,1027,318,123,-2.232308973139416,10.695652173913043,27.89115646258503,0.09094341143962158
CountFunctionCalls,246,7127,10,431,-16.151664789067667,5.702566816618153,97.73242630385488,0.013856863868280007
CountCurrying,6628,745,398,43,-1.7468618262441282,5.456852791878172,9.750566893424036,-0.0027118507038100628
CountPatternMatching,6283,1090,311,130,-2.3668883801994958,10.655737704918032,29.47845804988662,0.09342225522192063
