name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,3353,73,638,42,-0.25311888328010723,36.52173913043478,6.176470588235294,0.09114915667212677
IsNested,3426,0,680,0,-0.1984821949795681,0.0,0.0,0.0
HasNestedMethods,3162,264,503,177,-0.35181741698430713,40.136054421768705,26.029411764705884,0.21999024467591766
HasFunctions,2607,819,370,310,-1.0955813673980979,27.457927369353406,45.588235294117645,0.18052079437518312
IsFunction,250,3176,95,585,-4.765051852614952,15.554373836745548,86.02941176470588,-0.08942053185762515
HasFunctionParameters,3241,185,592,88,-0.36944215514577117,32.234432234432234,12.941176470588237,0.11252349944416568
HasHigherOrderCalls,2869,557,382,298,-0.6549629133614918,34.85380116959064,43.8235294117647,0.25236115607071824
HasFunctionCalls,3202,224,555,125,-0.3729671027780641,35.816618911174785,18.38235294117647,0.15787649433171969
HasCurrying,3383,43,619,61,-0.16675766628893252,58.65384615384615,8.970588235294118,0.1825390924918888
HasPatternMatching,2878,548,379,301,-0.6338132275677348,35.45347467608952,44.26470588235294,0.25947865273211057
HasLazyValues,3348,78,610,70,-0.21258198550873963,47.2972972972973,10.294117647058822,0.15988712110383407
HasMultipleParameterLists,3255,171,595,85,-0.35005494316816055,33.203125,12.5,0.11544252389150496
FunctionalScoreBool,2477,949,344,336,-1.278878644277326,26.14785992217899,49.411764705882355,0.1740569304271373
HasVariables,2948,478,456,224,-0.6461505442807598,31.908831908831907,32.94117647058823,0.18749424578004567
HasVariableDefinitions,3260,166,592,88,-0.33595515263898923,34.645669291338585,12.941176470588237,0.12492575321930038
HasInnerVariableAssignment,2008,1418,409,271,-2.2200396620995164,16.044997039668445,39.852941176470594,-0.011606705045389912
HasOuterVariableUsage,2994,432,461,219,-0.5738891178187564,33.6405529953917,32.20588235294118,0.19943917591868768
HasOuterVariableAssignment,3104,322,482,198,-0.41702894818172465,38.07692307692307,29.117647058823533,0.22040665137003146
HasSideEffects,2357,1069,340,340,-1.4833256069503111,24.130589070262598,50.0,0.14718063577656715
IsSideEffect,2550,876,420,260,-1.2841660657257652,22.887323943661972,38.23529411764706,0.10525051965756561
HasSideEffectCalls,2469,957,319,361,-1.2489165894028367,27.38998482549317,53.088235294117645,0.20029248698553132
HasSideEffectFunctions,3237,189,531,149,-0.26898114762542513,44.08284023668639,21.91176470588235,0.2217425970364829
ImperativeScoreBool,2432,994,356,324,-1.3793396517976722,24.582701062215477,47.647058823529406,0.14836845083727868
HasPointsBool,2030,1396,296,384,-1.9821056969197488,21.573033707865168,56.470588235294116,0.11794476492160998
ParadigmScoreBool,2365,1061,357,323,-1.499187871295629,23.33815028901734,47.5,0.1299970737487699
CountRecursiveCalls,3354,72,639,41,-0.25311888328010723,36.283185840707965,6.029411764705882,0.08925089070085708
CountNestedDepth,3426,0,680,0,-0.1984821949795681,0.0,0.0,0.0
CountNestedMethods,3214,212,549,131,-0.34124257408742853,38.19241982507289,19.264705882352942,0.1756843901265027
CountFunctions,2772,654,409,271,-0.8735096665636484,29.2972972972973,39.852941176470594,0.1847560184564266
CountFunctionParameters,3241,185,595,85,-0.37472957659421047,31.48148148148148,12.5,0.10648598307735725
CountHigherOrderCalls,2926,500,408,272,-0.6003262250609527,35.233160621761655,40.0,0.24170643422415397
CountFunctionCalls,3211,215,563,117,-0.37120462896191775,35.24096385542169,17.205882352941178,0.14904311241840973
CountCurrying,3383,43,619,61,-0.16675766628893252,58.65384615384615,8.970588235294118,0.1825390924918888
CountPatternMatching,2918,508,409,271,-0.6161884894062706,34.78818998716303,39.852941176470594,0.237262859036367
CountLazyValues,3348,78,610,70,-0.21258198550873963,47.2972972972973,10.294117647058822,0.15988712110383407
CountParameterLists,2951,475,550,130,-0.8065356615500843,21.487603305785125,19.11764705882353,0.055092004017513775
FunctionalScoreCount,2720,706,375,305,-0.9052341952542842,30.16815034619189,44.85294117647059,0.20920838790612067
CountVariables,3015,411,480,200,-0.5703641701864635,32.733224222585925,29.411764705882355,0.18190058089878322
CountVariableDefinitions,3263,163,601,79,-0.34652999553586783,32.64462809917356,11.617647058823529,0.10827805454563792
CountInnerVariableAssignment,3274,152,620,60,-0.36062978606503915,28.30188679245283,8.823529411764707,0.07369480195349998
CountOuterVariableUsage,3054,372,484,196,-0.5086775866213387,34.50704225352113,28.823529411764703,0.19343346059771865
CountOuterVariableAssignment,3113,313,488,192,-0.41174152673328535,38.01980198019802,28.235294117647058,0.21617614990454934
CountSideEffects,2849,577,384,296,-0.6937373373167133,33.90607101947308,43.529411764705884,0.24246435696711652
CountSideEffectCalls,2947,479,399,281,-0.5474520105765601,36.973684210526315,41.3235294117647,0.2617049801450398
CountSideEffectFunctions,3240,186,538,142,-0.2760310428900108,43.292682926829265,20.88235294117647,0.211885356132635
ImperativeScoreCount,2867,559,403,277,-0.6954998111328596,33.133971291866025,40.73529411764706,0.22542238571910156
HasPointsCount,2030,1396,296,384,-1.9821056969197488,21.573033707865168,56.470588235294116,0.11794476492160998
ParadigmScoreCount,2327,1099,334,346,-1.525624978537825,23.94463667820069,50.882352941176464,0.14636760430646797
FractionRecursiveCalls,2695,731,522,158,-1.2083796916314689,17.772778402699664,23.235294117647058,0.01713455201837991
FractionNestedMethods,3189,237,524,156,-0.34124257408742853,39.69465648854962,22.941176470588236,0.20246336508810817
FractionFunctions,2762,664,456,224,-0.9739706740839946,25.225225225225223,32.94117647058823,0.12243553592515913
FractionHigherOrderCalls,2933,493,442,238,-0.6479130180969062,32.55813953488372,35.0,0.20027715407297095
