name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,51,585,11,178,-3.0905460716781477,23.32896461336828,94.17989417989418,0.03504931943168544
IsNested,636,0,189,0,-0.2971698113207548,0.0,0.0,0.0
HasNestedMethods,591,45,129,60,-0.1942198262952981,57.14285714285714,31.746031746031743,0.3110839255882482
HasFunctions,413,223,85,104,-1.1139063591893783,31.804281345565748,55.026455026455025,0.17151769983888138
IsFunction,591,45,167,22,-0.4550264550264551,32.83582089552239,11.64021164021164,0.07022689970564265
HasFunctionParameters,564,72,123,66,-0.3383498053309375,47.82608695652174,34.92063492063492,0.2657365832017021
HasHigherOrderCalls,468,168,104,85,-0.8668263951282822,33.59683794466403,44.97354497354497,0.16913866597845445
HasFunctionCalls,533,103,123,66,-0.5511131077168814,39.053254437869825,34.92063492063492,0.19498511963004556
HasCurrying,605,31,161,28,-0.31775980832584616,47.45762711864407,14.814814814814813,0.1621181766545162
HasPatternMatching,462,174,113,76,-0.9697763801537389,30.4,40.21164021164021,0.1175344277480272
HasLazyValues,3,633,0,189,-3.3444893680742744,22.99270072992701,100.0,0.032932679137677764
HasMultipleParameterLists,566,70,124,65,-0.33148647299590706,48.148148148148145,34.39153439153439,0.26565008308763255
FunctionalScoreBool,421,215,65,124,-0.9217330538085258,36.57817109144543,65.60846560846561,0.2716536184087919
HasVariables,7,629,4,185,-3.3444893680742744,22.727272727272727,97.88359788359789,-0.03721753958914777
HasVariableDefinitions,569,67,170,19,-0.6266097634022163,22.093023255813954,10.052910052910052,-0.006624416938752871
HasInnerVariableAssignment,6,630,4,185,-3.351352700409304,22.699386503067483,97.88359788359789,-0.04504855328674919
HasOuterVariableUsage,3,633,0,189,-3.3444893680742744,22.99270072992701,100.0,0.032932679137677764
HasOuterVariableAssignment,2,634,0,189,-3.351352700409304,22.96476306196841,100.0,0.026873078730194986
HasSideEffects,46,590,25,164,-3.220949386043726,21.750663129973475,86.77248677248677,-0.08982970026694369
IsSideEffect,26,610,15,174,-3.289582709394031,22.193877551020407,92.06349206349206,-0.07442112122967752
HasSideEffectCalls,34,602,15,174,-3.2346760507137873,22.422680412371136,92.06349206349206,-0.046060669654476014
HasSideEffectFunctions,11,625,2,187,-3.3033093740640913,23.029556650246306,98.94179894179894,0.02265501656356352
ImperativeScoreBool,45,591,23,166,-3.2140860537086953,21.92866578599736,87.83068783068782,-0.07783992403408815
HasPointsBool,353,283,50,139,-1.2854896675651393,32.93838862559242,73.54497354497354,0.24421296387799124
ParadigmScoreBool,372,264,60,129,-1.2237196765498655,32.82442748091603,68.25396825396825,0.22503825479379197
CountRecursiveCalls,50,586,11,178,-3.0974094040131783,23.298429319371728,94.17989417989418,0.03278713747685298
CountNestedDepth,636,0,189,0,-0.2971698113207548,0.0,0.0,0.0
CountNestedMethods,592,44,134,55,-0.2216731556354199,55.55555555555556,29.100529100529098,0.2868665649878698
CountFunctions,486,150,124,65,-0.8805530597983431,30.23255813953488,34.39153439153439,0.10345834902167023
CountFunctionParameters,565,71,123,66,-0.33148647299590706,48.175182481751825,34.92063492063492,0.26828637590808724
CountHigherOrderCalls,479,157,122,67,-0.9148697214734953,29.910714285714285,35.44973544973545,0.10171382998917122
CountFunctionCalls,537,99,123,66,-0.5236597783767596,40.0,34.92063492063492,0.20334320156337296
CountCurrying,604,32,161,28,-0.3246231406608766,46.666666666666664,14.814814814814813,0.15832209172439757
CountPatternMatching,469,167,103,86,-0.8530997304582213,33.99209486166008,45.5026455026455,0.17539379415813103
CountLazyValues,3,633,0,189,-3.3444893680742744,22.99270072992701,100.0,0.032932679137677764
CountParameterLists,566,70,124,65,-0.33148647299590706,48.148148148148145,34.39153439153439,0.26565008308763255
FunctionalScoreCount,462,174,96,93,-0.8530997304582213,34.831460674157306,49.2063492063492,0.19624364732309812
CountVariables,7,629,4,185,-3.3444893680742744,22.727272727272727,97.88359788359789,-0.03721753958914777
CountVariableDefinitions,187,449,60,129,-2.4934361585304985,22.318339100346023,68.25396825396825,-0.021503789061153043
CountInnerVariableAssignment,6,630,4,185,-3.351352700409304,22.699386503067483,97.88359788359789,-0.04504855328674919
CountOuterVariableUsage,3,633,0,189,-3.3444893680742744,22.99270072992701,100.0,0.032932679137677764
CountOuterVariableAssignment,2,634,0,189,-3.351352700409304,22.96476306196841,100.0,0.026873078730194986
CountSideEffects,45,591,21,168,-3.200359389038635,22.134387351778656,88.88888888888889,-0.0625142404704621
CountSideEffectCalls,34,602,15,174,-3.2346760507137873,22.422680412371136,92.06349206349206,-0.046060669654476014
CountSideEffectFunctions,11,625,2,187,-3.3033093740640913,23.029556650246306,98.94179894179894,0.02265501656356352
ImperativeScoreCount,45,591,22,167,-3.2072227213736655,22.03166226912929,88.35978835978835,-0.07022689970564265
HasPointsCount,353,283,50,139,-1.2854896675651393,32.93838862559242,73.54497354497354,0.24421296387799124
ParadigmScoreCount,369,267,59,130,-1.2374463412199264,32.7455919395466,68.78306878306879,0.2254283328854992
FractionRecursiveCalls,50,586,7,182,-3.0699560746730565,23.697916666666664,96.29629629629629,0.06889992577175691
FractionNestedMethods,594,42,133,56,-0.20108315863032855,57.14285714285714,29.629629629629626,0.29908525438359856
FractionFunctions,446,190,106,83,-1.031546371169013,30.4029304029304,43.91534391534391,0.1254037894659738
FractionHigherOrderCalls,491,145,131,58,-0.894279724468404,28.57142857142857,30.687830687830687,0.07697382698421369
FractionFunctionCalls,546,90,140,49,-0.5785664370570032,35.25179856115108,25.925925925925924,0.13220572842574008
FractionCurrying,610,26,169,20,-0.3383498053309375,43.47826086956522,10.582010582010582,0.11893822210583314
FractionPatternMatching,464,172,121,68,-1.0109563741639214,28.333333333333332,35.978835978835974,0.0826725374535233
FractionLazyValues,65,571,19,170,-3.0493660776679645,22.941970310391362,89.94708994708994,0.00232374169427731
FunctionalScoreFraction,438,198,85,104,-0.9423230508136171,34.437086092715234,55.026455026455025,0.20844952126513228
FractionVariables,7,629,4,185,-3.3444893680742744,22.727272727272727,97.88359788359789,-0.03721753958914777
FractionVariableDefinitions,64,572,23,166,-3.083682739343117,22.493224932249323,87.83068783068782,-0.028821490345155742
FractionInnerVariableAssignment,6,630,4,185,-3.351352700409304,22.699386503067483,97.88359788359789,-0.04504855328674919
FractionOuterVariableUsage,3,633,0,189,-3.3444893680742744,22.99270072992701,100.0,0.032932679137677764
FractionOuterVariableAssignment,64,572,19,170,-3.056229410002995,22.911051212938006,89.94708994708994,0.00013946999563456115
FractionSideEffects,44,592,20,169,-3.200359389038635,22.207621550591327,89.41798941798942,-0.057557978815798175
FractionSideEffectCalls,33,603,13,176,-3.2278127183787566,22.593068035943517,93.12169312169311,-0.03094587869548387
FractionSideEffectFunctions,11,625,2,187,-3.3033093740640913,23.029556650246306,98.94179894179894,0.02265501656356352
ImperativeScoreFraction,45,591,19,170,-3.1866327243685735,22.339027595269382,89.94708994708994,-0.046775659895944975
HasPointsFraction,353,283,50,139,-1.2854896675651393,32.93838862559242,73.54497354497354,0.24421296387799124
ParadigmScoreFraction,367,269,58,131,-1.2443096735549566,32.75,69.31216931216932,0.22717745980139062
FunctionalCallsLandkroon,464,172,111,78,-0.9423230508136171,31.2,41.269841269841265,0.1300866481871369
ImperativeCallsLandkroon,10,626,0,189,-3.2964460417290606,23.190184049079754,100.0,0.06038423100138721
FunctionalPointsLandkroon,434,202,92,97,-1.017819706498952,32.441471571906355,51.32275132275132,0.17101672592491557
ImperativePointsLandkroon,14,622,4,185,-3.2964460417290606,22.92441140024783,97.88359788359789,0.0024409995083158787
HasPointsLandkroon,409,227,91,98,-1.1825396825396828,30.153846153846153,51.85185185185185,0.13898722530715144
ParadigmScoreLandkroon,412,224,91,98,-1.1619496855345912,30.434782608695656,51.85185185185185,0.14327976311859747
