name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,1818,36,247,33,-0.1633572199106179,47.82608695652174,11.785714285714285,0.18789682588624979
IsNested,1854,0,280,0,-0.15102481121898603,0.0,0.0,0.0
HasNestedMethods,1728,126,221,59,-0.4264486053321004,31.891891891891895,21.071428571428573,0.17128830341484105
HasFunctions,979,875,119,161,-3.0861380798274,15.54054054054054,57.49999999999999,0.0696129671039852
IsFunction,1813,41,246,34,-0.17980043149946057,45.33333333333333,12.142857142857142,0.18209018176842517
HasFunctionParameters,1488,366,158,122,-1.1540607181383882,25.0,43.57142857142857,0.19157510782178294
HasHigherOrderCalls,1109,745,114,166,-2.5311796887039604,18.22173435784852,59.285714285714285,0.1303910369446167
HasFunctionCalls,680,1174,138,142,-4.3933734011403915,10.790273556231003,50.71428571428571,-0.08755570406021196
HasCurrying,226,1628,77,203,-6.0089189397441825,11.086837793555434,72.5,-0.14809744392785926
HasPatternMatching,1470,384,173,107,-1.2897172137463397,21.792260692464357,38.21428571428571,0.14040085883107187
HasLazyValues,1645,209,228,52,-0.7964208660810603,19.923371647509576,18.571428571428573,0.07521053150016192
HasMultipleParameterLists,1690,164,183,97,-0.4264486053321004,37.16475095785441,34.64285714285714,0.26583730884287066
FunctionalScoreBool,1000,854,117,163,-2.9915896131915547,16.027531956735498,58.214285714285715,0.08214563866032684
HasVariables,113,1741,26,254,-6.263788719371243,12.731829573934835,90.71428571428571,-0.04365685950293482
HasVariableDefinitions,1782,72,254,26,-0.34012174449067656,26.53061224489796,9.285714285714286,0.08713731088381209
HasInnerVariableAssignment,1787,67,254,26,-0.31956773000462313,27.956989247311824,9.285714285714286,0.09379937656219899
HasOuterVariableUsage,68,1786,9,271,-6.378891200493142,13.17452600875061,96.78571428571429,0.008209374528040958
HasOuterVariableAssignment,39,1815,6,274,-6.485772075820619,13.11632359980852,97.85714285714285,-0.0009234657866748476
HasSideEffects,1448,406,202,78,-1.499368161504084,16.115702479338843,27.857142857142858,0.04804071561138578
IsSideEffect,152,1702,28,252,-6.111689012174449,12.896622313203684,90.0,-0.021886286768529443
HasSideEffectCalls,1492,362,224,56,-1.408930497765449,13.397129186602871,20.0,0.0040379416626724045
HasSideEffectFunctions,1808,46,225,55,-0.11402758514408995,54.45544554455446,19.642857142857142,0.27287622737933587
ImperativeScoreBool,1464,390,217,63,-1.4952573586068731,13.90728476821192,22.5,0.012090966752768544
HasPointsBool,773,1081,103,177,-3.8671906302974266,14.069952305246423,63.21428571428571,0.0336851960302033
ParadigmScoreBool,924,930,111,169,-3.279345815996301,15.37761601455869,60.357142857142854,0.06887572300511259
CountRecursiveCalls,1818,36,247,33,-0.1633572199106179,47.82608695652174,11.785714285714285,0.18789682588624979
CountNestedDepth,1854,0,280,0,-0.15102481121898603,0.0,0.0,0.0
CountNestedMethods,1728,126,226,54,-0.4470026198181538,30.0,19.28571428571429,0.15173431233152
CountFunctions,1484,370,159,121,-1.1746147326244412,24.643584521384927,43.214285714285715,0.18656758117183553
CountFunctionParameters,1496,358,160,120,-1.129395900755124,25.10460251046025,42.857142857142854,0.1906932612407022
CountHigherOrderCalls,1493,361,153,127,-1.1129526891662813,26.024590163934423,45.357142857142854,0.20809874736375616
CountFunctionCalls,918,936,145,135,-3.4437779318847284,12.605042016806722,48.214285714285715,-0.015336228013169122
CountCurrying,58,1796,53,227,-6.600874556942518,11.220958971824025,81.07142857142857,-0.24023542211780935
CountPatternMatching,1489,365,168,112,-1.1910579442132838,23.48008385744235,40.0,0.16462054028783615
CountLazyValues,1826,28,259,21,-0.17980043149946057,42.857142857142854,7.5,0.1350179917353959
CountParameterLists,1691,163,182,98,-0.41822699953767906,37.547892720306514,35.0,0.2700734594504864
FunctionalScoreCount,1458,396,154,126,-1.2609415934658652,24.137931034482758,45.0,0.18568544003723098
CountVariables,1743,111,251,29,-0.48811064879026045,20.714285714285715,10.357142857142858,0.059593302338637716
CountVariableDefinitions,1782,72,254,26,-0.34012174449067656,26.53061224489796,9.285714285714286,0.08713731088381209
CountInnerVariableAssignment,1787,67,254,26,-0.31956773000462313,27.956989247311824,9.285714285714286,0.09379937656219899
CountOuterVariableUsage,68,1786,9,271,-6.378891200493142,13.17452600875061,96.78571428571429,0.008209374528040958
CountOuterVariableAssignment,39,1815,6,274,-6.485772075820619,13.11632359980852,97.85714285714285,-0.0009234657866748476
CountSideEffects,1543,311,205,75,-1.1211742949607029,19.4300518134715,26.785714285714285,0.08781212152620778
CountSideEffectCalls,1626,228,231,49,-0.8868585298196949,17.689530685920577,17.5,0.052261340642615665
CountSideEffectFunctions,1807,47,217,63,-0.08525196486361541,57.27272727272727,22.5,0.3048599034994441
ImperativeScoreCount,1558,296,223,57,-1.1335067036523347,16.147308781869686,20.357142857142858,0.03990649234289382
HasPointsCount,775,1079,104,176,-3.863079827400216,14.023904382470121,62.857142857142854,0.03195787937319642
ParadigmScoreCount,950,904,103,177,-3.139578517491139,16.37372802960222,63.21428571428571,0.09761584927236566
FractionRecursiveCalls,1815,39,241,39,-0.15102481121898603,50.0,13.928571428571429,0.21275344346231312
FractionNestedMethods,1733,121,226,54,-0.4264486053321004,30.857142857142854,19.28571428571429,0.1570087928451144
FractionFunctions,1070,784,129,151,-2.7531630451533364,16.149732620320854,53.92857142857142,0.07921949374116374
FractionHigherOrderCalls,1138,716,121,159,-2.440742024965326,18.17142857142857,56.785714285714285,0.12470634549205245
FractionFunctionCalls,465,1389,94,186,-5.096320696563415,11.80952380952381,66.42857142857143,-0.06519617409816245
FractionCurrying,1102,752,170,110,-2.7901602712282325,12.761020881670534,39.285714285714285,-0.008774591766940799
FractionPatternMatching,1497,357,177,103,-1.1951687471104946,22.39130434782609,36.78571428571429,0.14393301206516299
FractionLazyValues,28,1826,22,258,-6.596763754045307,12.380038387715931,92.14285714285714,-0.14166459268025347
FunctionalScoreFraction,1185,669,113,167,-2.214647865618739,19.976076555023923,59.64285714285714,0.1629464823040791
FractionVariables,112,1742,28,252,-6.276121128062876,12.637913741223672,90.0,-0.05398754957523064
FractionVariableDefinitions,1784,70,254,26,-0.33190013869625523,27.083333333333332,9.285714285714286,0.0897542831076532
FractionInnerVariableAssignment,1789,65,254,26,-0.3113461242102018,28.57142857142857,9.285714285714286,0.09658071066834001
FractionOuterVariableUsage,68,1786,6,274,-6.36655879180151,13.300970873786408,97.85714285714285,0.028139892558221843
FractionOuterVariableAssignment,39,1815,2,278,-6.469328864231777,13.282369804108935,99.28571428571429,0.034170024874247314
FractionSideEffects,1387,467,211,69,-1.7871243643088301,12.87313432835821,24.642857142857146,-0.004250061191729723
FractionSideEffectCalls,229,1625,43,237,-5.856819232547387,12.728249194414609,84.64285714285714,-0.030427908572557085
FractionSideEffectFunctions,1812,42,239,41,-0.15513561411619659,49.39759036144578,14.642857142857144,0.21614461099709614
ImperativeScoreFraction,372,1482,58,222,-5.330636461704422,13.028169014084506,79.28571428571428,-0.005467448014432304
HasPointsFraction,773,1081,103,177,-3.8671906302974266,14.069952305246423,63.21428571428571,0.0336851960302033
ParadigmScoreFraction,889,965,105,175,-3.3985591000154107,15.350877192982457,62.5,0.0707327012774486
FunctionalCallsLandkroon,1374,480,163,117,-1.643246262906457,19.597989949748744,41.785714285714285,0.11956132339257855
ImperativeCallsLandkroon,1741,113,215,65,-0.3483433502850979,36.51685393258427,23.214285714285715,0.2090387853580779
FunctionalPointsLandkroon,1193,661,137,143,-2.28042071197411,17.786069651741293,51.07142857142857,0.10743114546242216
ImperativePointsLandkroon,1718,136,243,37,-0.5579942980428416,21.38728323699422,13.214285714285715,0.07272108328663951
HasPointsLandkroon,1059,795,113,167,-2.732609030667283,17.35966735966736,59.64285714285714,0.11374278948984075
ParadigmScoreLandkroon,1142,712,124,156,-2.436631222068115,17.972350230414747,55.714285714285715,0.11898032472232742
