name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,7202,160,1254,104,-0.23330448639853052,39.39393939393939,7.658321060382916,0.11607531248578092
IsNested,7362,0,1358,0,-0.18446074436294513,0.0,0.0,0.0
HasNestedMethods,6341,1021,928,430,-0.699936664774212,29.634734665747757,31.66421207658321,0.17325739486370548
HasFunctions,6484,878,816,542,-0.47752319657645725,38.16901408450704,39.91163475699558,0.2748373105485942
IsFunction,6847,515,1146,212,-0.4487402771626301,29.160935350756535,15.61119293078056,0.11301129597512216
HasFunctionParameters,6940,422,1084,274,-0.31354777688556346,39.36781609195402,20.176730486008836,0.19326490850842573
HasHigherOrderCalls,6832,530,908,450,-0.2542375186994956,45.91836734693878,33.136966126656844,0.2977816994972967
HasFunctionCalls,6373,989,1039,319,-0.7688412294315556,24.388379204892967,23.49042709867452,0.10212367230601631
HasCurrying,7074,288,1197,161,-0.29523137362221896,35.85746102449889,11.855670103092782,0.13033704780592373
HasPatternMatching,5747,1615,592,766,-0.9249667620095874,32.17135657286854,56.40648011782032,0.2805387019685052
HasLazyValues,7066,296,1202,156,-0.3065700994519085,34.51327433628318,11.487481590574374,0.12212790191491646
HasMultipleParameterLists,6990,372,1110,248,-0.29261474458459835,40.0,18.262150220913107,0.18637392317704288
FunctionalScoreBool,6317,1045,725,633,-0.5438111321961803,37.72348033373063,46.61266568483063,0.29818931329883125
HasVariables,6454,908,966,392,-0.6345209388336959,30.153846153846153,28.865979381443296,0.168309796247348
HasVariableDefinitions,6786,576,1128,230,-0.48624529336852595,28.53598014888337,16.936671575846834,0.11408533722145334
HasInnerVariableAssignment,7057,305,1210,148,-0.3213976639984255,32.671081677704194,10.89837997054492,0.11037766248935331
HasOuterVariableUsage,6486,876,980,378,-0.618821164607972,30.14354066985646,27.835051546391753,0.16467868018493287
HasOuterVariableAssignment,5964,1398,846,512,-0.957238520140242,26.806282722513092,37.702503681885126,0.1640602082656257
HasSideEffects,6073,1289,830,528,-0.8482123102393819,29.058888277380294,38.88070692194404,0.19080689902332326
IsSideEffect,5526,1836,809,549,-1.3069946015022014,23.0188679245283,40.42709867452135,0.1259887866911235
HasSideEffectCalls,6296,1066,863,495,-0.6824924711900744,31.710442024343372,36.45066273932253,0.2078107653695546
HasSideEffectFunctions,6790,572,944,414,-0.3222698736776324,41.98782961460446,30.486008836524302,0.26010361884046884
ImperativeScoreBool,6127,1235,858,500,-0.8255348585800029,28.818443804034583,36.81885125184095,0.18204921356738535
HasPointsBool,6176,1186,736,622,-0.6763870034356263,34.402654867256636,45.80265095729013,0.26558240701403746
ParadigmScoreBool,2847,4515,622,736,-3.48054112208575,14.016377832793752,54.19734904270987,-0.05283002459591353
CountRecursiveCalls,7202,160,1254,104,-0.23330448639853052,39.39393939393939,7.658321060382916,0.11607531248578092
CountNestedDepth,7362,0,1358,0,-0.18446074436294513,0.0,0.0,0.0
CountNestedMethods,6341,1021,928,430,-0.699936664774212,29.634734665747757,31.66421207658321,0.17325739486370548
CountFunctions,6385,977,791,567,-0.5420667128377665,36.72279792746114,41.75257731958763,0.27055106509643856
CountFunctionParameters,6940,422,1084,274,-0.31354777688556346,39.36781609195402,20.176730486008836,0.19326490850842573
CountHigherOrderCalls,6440,922,769,589,-0.47490656753883664,38.98080741230972,43.37260677466863,0.29554038120048143
CountFunctionCalls,6373,989,1039,319,-0.7688412294315556,24.388379204892967,23.49042709867452,0.10212367230601631
CountCurrying,7074,288,1197,161,-0.29523137362221896,35.85746102449889,11.855670103092782,0.13033704780592373
CountPatternMatching,6613,749,827,531,-0.37460245443004525,41.484375,39.101620029455084,0.2963951262034124
CountLazyValues,7066,296,1202,156,-0.3065700994519085,34.51327433628318,11.487481590574374,0.12212790191491646
CountParameterLists,6990,372,1110,248,-0.29261474458459835,40.0,18.262150220913107,0.18637392317704288
