name,count,mean,std,min,25%,50%,75%,max
IsRecursive,289,0.006920415224913495,0.08304448208871282,0.0,0.0,0.0,0.0,1.0
IsNested,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HasNestedMethods,289,0.08304498269896193,0.2764288662719938,0.0,0.0,0.0,0.0,1.0
HasFunctions,289,0.43252595155709345,0.496285704198936,0.0,0.0,0.0,1.0,1.0
IsFunction,289,0.02768166089965398,0.1643436726886295,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,289,0.08304498269896193,0.2764288662719938,0.0,0.0,0.0,0.0,1.0
HasHigherOrderCalls,289,0.4083044982698962,0.4923726189053884,0.0,0.0,0.0,1.0,1.0
HasFunctionCalls,289,0.07612456747404844,0.2656573314674358,0.0,0.0,0.0,0.0,1.0
HasCurrying,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HasPatternMatching,289,0.3633217993079585,0.4817906813845339,0.0,0.0,0.0,1.0,1.0
HasLazyValues,289,0.01384083044982699,0.11703270966973846,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,289,0.24567474048442905,0.4312332662840602,0.0,0.0,0.0,0.0,1.0
FunctionalScoreBool,289,1.6055363321799307,1.6635712315975535,0.0,0.0,1.0,3.0,7.0
HasVariables,289,0.06920415224913495,0.2542412250958812,0.0,0.0,0.0,0.0,1.0
HasVariableDefinitions,289,0.03806228373702422,0.1916785764315407,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,289,0.04498269896193772,0.20762567239752325,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,289,0.03460207612456748,0.18308675879395195,0.0,0.0,0.0,0.0,1.0
HasOuterVariableAssignment,289,0.020761245674740483,0.14283139494444574,0.0,0.0,0.0,0.0,1.0
HasSideEffects,289,0.3391003460207612,0.47422512121370963,0.0,0.0,0.0,1.0,1.0
IsSideEffect,289,0.25259515570934254,0.43525437020437474,0.0,0.0,0.0,1.0,1.0
HasSideEffectCalls,289,0.22145328719723184,0.41594516540385146,0.0,0.0,0.0,0.0,1.0
HasSideEffectFunctions,289,0.08650519031141868,0.28159620816362885,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,289,1.069204152249135,1.750610922089273,0.0,0.0,0.0,2.0,7.0
HasPointsBool,289,0.6643598615916955,0.4730328659535223,0.0,0.0,1.0,1.0,1.0
ParadigmScoreBool,289,0.4376024206474034,0.592303423087815,-1.0,0.0,0.25,1.0,1.0
