name,count,mean,std,min,25%,50%,75%,max
IsRecursive,825,0.09333333333333334,0.3813194602224447,0.0,0.0,0.0,0.0,6.0
IsNested,825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HasNestedMethods,825,0.23030303030303031,0.6666850541741975,0.0,0.0,0.0,0.0,4.0
HasFunctions,825,1.5006060606060605,3.2019884782380235,0.0,0.0,0.0,1.0,30.0
IsFunction,825,0.3927272727272727,2.2840615872848415,0.0,0.0,0.0,0.0,30.0
HasFunctionParameters,825,0.5066666666666667,1.7052934908594584,0.0,0.0,0.0,0.0,22.0
HasHigherOrderCalls,825,0.926060606060606,2.1408219366130417,0.0,0.0,0.0,1.0,22.0
HasFunctionCalls,825,0.38303030303030305,0.8411175127157423,0.0,0.0,0.0,1.0,8.0
HasCurrying,825,0.20727272727272728,1.1551679802805697,0.0,0.0,0.0,0.0,15.0
HasPatternMatching,825,0.8436363636363636,1.8756322852707212,0.0,0.0,0.0,1.0,21.0
HasLazyValues,825,0.0036363636363636364,0.060229042089615346,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,825,0.3806060606060606,1.079649404264307,0.0,0.0,0.0,0.0,10.0
FunctionalScoreBool,825,5.467878787878788,10.22972769070939,0.0,0.0,2.0,5.0,80.0
HasVariables,825,0.020606060606060607,0.22210843414112516,0.0,0.0,0.0,0.0,5.0
HasVariableDefinitions,825,0.01090909090909091,0.10393833462740852,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,825,0.01575757575757576,0.158861053638228,0.0,0.0,0.0,0.0,3.0
HasOuterVariableUsage,825,0.01090909090909091,0.19982339952406017,0.0,0.0,0.0,0.0,5.0
HasOuterVariableAssignment,825,0.0036363636363636364,0.07781209402819124,0.0,0.0,0.0,0.0,2.0
HasSideEffects,825,0.17212121212121212,0.6696967034487922,0.0,0.0,0.0,0.0,6.0
IsSideEffect,825,0.06666666666666667,0.3255565312141368,0.0,0.0,0.0,0.0,4.0
HasSideEffectCalls,825,0.11272727272727273,0.5469646645066644,0.0,0.0,0.0,0.0,6.0
HasSideEffectFunctions,825,0.01818181818181818,0.15075567228888181,0.0,0.0,0.0,0.0,2.0
ImperativeScoreBool,825,0.4315151515151515,1.836912711134086,0.0,0.0,0.0,0.0,24.0
HasPointsBool,825,2.035151515151515,3.552310304928433,0.0,0.0,1.0,2.0,30.0
ParadigmScoreBool,825,1.8076210590756048,3.379053926346018,-5.0,0.0,1.0,2.0,30.0
