name,count,mean,std,min,25%,50%,75%,max
IsRecursive,1633,0.007960808328230252,0.14622812701302837,0.0,0.0,0.0,0.0,5.0
IsNested,1633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HasNestedMethods,1633,0.421310471524801,1.007976276391938,0.0,0.0,0.0,1.0,16.0
HasFunctions,1633,0.27924066135946113,0.9036507716862584,0.0,0.0,0.0,0.0,19.0
IsFunction,1633,0.010410287813839559,0.16938293630050905,0.0,0.0,0.0,0.0,4.0
HasFunctionParameters,1633,0.0906307409675444,0.4071862517187038,0.0,0.0,0.0,0.0,9.0
HasHigherOrderCalls,1633,0.1812614819350888,0.7671034300497724,0.0,0.0,0.0,0.0,18.0
HasFunctionCalls,1633,0.0747091243110839,0.34200021395372254,0.0,0.0,0.0,0.0,7.0
HasCurrying,1633,0.005511328842620943,0.08191338548029492,0.0,0.0,0.0,0.0,2.0
HasPatternMatching,1633,0.22290263319044704,0.6590543217139068,0.0,0.0,0.0,0.0,13.0
HasLazyValues,1633,0.010410287813839559,0.1073951412526855,0.0,0.0,0.0,0.0,2.0
HasMultipleParameterLists,1633,0.21739130434782608,1.708511364519987,0.0,0.0,0.0,0.0,49.0
FunctionalScoreBool,1633,1.5217391304347827,3.9166780032848214,0.0,0.0,1.0,2.0,70.0
HasVariables,1633,0.005511328842620943,0.0890802610959455,0.0,0.0,0.0,0.0,2.0
HasVariableDefinitions,1633,0.002449479485609308,0.04944670632071101,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,1633,0.002449479485609308,0.04944670632071101,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,1633,0.003674219228413962,0.07819170557971072,0.0,0.0,0.0,0.0,2.0
HasOuterVariableAssignment,1633,0.001837109614206981,0.05532041621737927,0.0,0.0,0.0,0.0,2.0
HasSideEffects,1633,0.052663808940600125,0.312594017652294,0.0,0.0,0.0,0.0,5.0
IsSideEffect,1633,0.01224739742804654,0.13949104803713905,0.0,0.0,0.0,0.0,3.0
HasSideEffectCalls,1633,0.020820575627679118,0.1628711832138582,0.0,0.0,0.0,0.0,2.0
HasSideEffectFunctions,1633,0.000612369871402327,0.024746108207197495,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,1633,0.10226576852418862,0.6742468640902799,0.0,0.0,0.0,0.0,13.0
HasPointsBool,1633,0.8793631353337416,2.1883205096553837,0.0,0.0,1.0,1.0,52.0
ParadigmScoreBool,1633,0.8204144939907341,2.097078146806857,-3.0,0.0,0.0,1.0,51.0
