name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsRecursive,18,3,15,16.666666666666664,1.2552301255230125
IsNested,99,12,87,12.121212121212121,5.02092050209205
HasNestedMethods,167,24,143,14.37125748502994,10.0418410041841
HasFunctions,848,103,745,12.14622641509434,43.09623430962343
IsFunction,45,6,39,13.333333333333334,2.510460251046025
HasFunctionParameters,314,32,282,10.191082802547772,13.389121338912133
HasHigherOrderCalls,645,68,577,10.542635658914728,28.451882845188287
HasFunctionCalls,80,13,67,16.25,5.439330543933055
HasCurrying,12,2,10,16.666666666666664,0.8368200836820083
HasPatternMatching,496,89,407,17.943548387096776,37.238493723849366
HasLazyValues,65,6,59,9.230769230769232,2.510460251046025
HasMultipleParameterLists,618,86,532,13.915857605177994,35.98326359832636
FunctionalScoreBool,1485,172,1313,11.582491582491583,71.96652719665272
HasVariables,109,20,89,18.34862385321101,8.368200836820083
HasVariableDefinitions,32,7,25,21.875,2.928870292887029
HasInnerVariableAssignment,59,11,48,18.64406779661017,4.602510460251046
HasOuterVariableUsage,78,14,64,17.94871794871795,5.857740585774058
HasOuterVariableAssignment,34,5,29,14.705882352941178,2.092050209205021
HasSideEffects,294,53,241,18.027210884353742,22.17573221757322
IsSideEffect,145,24,121,16.551724137931036,10.0418410041841
HasSideEffectCalls,221,39,182,17.647058823529413,16.317991631799163
HasSideEffectFunctions,14,4,10,28.57142857142857,1.6736401673640167
ImperativeScoreBool,318,55,263,17.29559748427673,23.01255230125523
HasPointsBool,1625,190,1435,11.692307692307692,79.49790794979079
ParadigmScoreBool,1582,180,1402,11.378002528445007,75.31380753138075
