name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
IsRecursive,390,156,234,40.0,7.942973523421588
HasNestedMethods,2099,600,1499,28.585040495474033,30.549898167006113
HasFunctions,4853,1265,3588,26.066350710900476,64.40936863543789
IsFunction,1107,328,779,29.629629629629626,16.700610997963338
HasFunctionParameters,986,383,603,38.843813387423936,19.501018329938898
HasHigherOrderCalls,3543,1134,2409,32.00677392040643,57.73930753564155
HasFunctionCalls,1856,420,1436,22.629310344827587,21.384928716904277
HasCurrying,650,223,427,34.30769230769231,11.35437881873727
HasPatternMatching,3571,1109,2462,31.055726687202462,56.4663951120163
HasLazyValues,681,231,450,33.92070484581498,11.761710794297352
HasMultipleParameterLists,903,356,547,39.42414174972315,18.126272912423623
FunctionalScoreBool,6522,1521,5001,23.321067157313706,77.4439918533605
HasVariables,3648,885,2763,24.259868421052634,45.06109979633401
HasVariableDefinitions,1129,318,811,28.166519043401237,16.191446028513237
HasInnerVariableAssignment,650,205,445,31.538461538461537,10.437881873727088
HasOuterVariableUsage,3452,821,2631,23.783314020857475,41.80244399185336
HasOuterVariableAssignment,2782,737,2045,26.49173256649892,37.5254582484725
HasSideEffects,7139,1397,5742,19.568567026194145,71.13034623217924
IsSideEffect,5227,975,4252,18.65314712071934,49.64358452138493
HasSideEffectCalls,6307,1321,4986,20.944981766291423,67.26069246435846
HasSideEffectFunctions,1433,604,829,42.1493370551291,30.75356415478615
ImperativeScoreBool,7203,1403,5800,19.47799527974455,71.43584521384929
HasPointsBool,9041,1710,7331,18.91383696493751,87.06720977596741
ParadigmScoreBool,8684,1657,7027,19.081068631966836,84.36863543788188
