name,count,percentage_faulty,percentage_total_faults
FunctionalScoreBool,7,29.49561403508772,83.28173374613003
HasCurrying,6,47.21522177419355,10.940347304105476
HasFunctionCalls,7,36.55913978494624,21.052631578947366
HasFunctionParameters,7,43.85964912280701,22.75280898876405
HasFunctions,7,31.797919762258537,66.57303370786515
HasHigherOrderCalls,7,34.72727272727273,58.98876404494382
HasInnerVariableAssignment,7,40.0,10.437881873727088
HasLazyValues,7,45.45454545454545,10.416666666666668
HasMultipleParameterLists,7,39.42414174972315,38.86255924170617
HasNestedMethods,7,51.0989010989011,31.596091205211724
HasOuterVariableAssignment,7,26.491732566498925,3.5087719298245608
HasOuterVariableUsage,7,54.54545454545454,7.894736842105262
HasPatternMatching,7,34.929577464788736,57.86516853932585
HasPointsBool,7,24.35577722360765,87.67772511848341
HasSideEffectCalls,7,32.0,33.42696629213483
HasSideEffectFunctions,7,50.98039215686275,8.049535603715169
HasSideEffects,7,34.78260869565217,53.819444444444436
HasVariableDefinitions,7,44.444444444444436,10.964912280701752
HasVariables,7,36.36363636363637,18.859649122807017
ImperativeScoreBool,7,35.135135135135144,53.819444444444436
IsFunction,7,34.78260869565217,9.550561797752808
IsNested,1,100.0,0.2808988764044944
IsRecursive,7,40.0,5.8631921824104225
IsSideEffect,7,18.67469879518072,16.853932584269664
ParadigmScoreBool,7,26.20967741935484,80.4953560371517
