name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,175,4166,9,576,-7.098512099894268,12.146773513285533,98.46153846153847,0.04252872482953169
IsNested,179,4162,7,578,-7.086873519630949,12.19409282700422,98.80341880341881,0.049674554188671886
HasNestedMethods,4109,232,543,42,-0.5033166173456427,15.328467153284672,7.179487179487179,0.02590219658525472
HasFunctions,2057,2284,153,432,-3.7272033502855892,15.905743740795286,73.84615384615385,0.1380999384287472
IsFunction,74,4267,2,583,-7.280849857352967,12.02061855670103,99.65811965811966,0.03577058235927703
HasFunctionParameters,3108,1233,298,287,-1.9697777305241022,18.88157894736842,49.059829059829056,0.14467046745743198
HasHigherOrderCalls,2274,2067,167,418,-3.3334313847098915,16.82092555331992,71.45299145299145,0.15423452934351245
HasFunctionCalls,3713,628,471,114,-1.1317999515649824,15.363881401617252,19.48717948717949,0.045406615346494816
HasCurrying,193,4148,16,569,-7.077174702744847,12.062751748993005,97.26495726495726,0.027460021836777804
HasPatternMatching,3803,538,470,115,-0.9552814842379458,17.611026033690656,19.65811965811966,0.06930510048785185
HasLazyValues,460,3881,64,521,-6.652366523133627,11.835529304861426,89.05982905982906,-0.0036045592475514557
HasMultipleParameterLists,3597,744,310,275,-1.0445105995900743,26.987242394504417,47.008547008547005,0.23855800874128757
FunctionalScoreBool,2673,1668,230,355,-2.6816708899639097,17.54819574888779,60.68376068376068,0.14637452319623487
HasVariables,453,3888,10,575,-6.561197644404278,12.883710508626484,98.29059829059828,0.09673490110321946
HasVariableDefinitions,143,4198,7,578,-7.1567050012108755,12.102177554438862,98.80341880341881,0.03949260454835662
HasInnerVariableAssignment,148,4193,7,578,-7.147006184324773,12.114860616223014,98.80341880341881,0.04100519063163686
HasOuterVariableUsage,338,4003,6,579,-6.776511379275719,12.636403317328677,98.97435897435898,0.08581243656305877
HasOuterVariableAssignment,51,4290,1,584,-7.323524651651811,11.981945014361921,99.82905982905983,0.031777572722552015
HasSideEffects,768,3573,65,520,-6.056859166327031,12.704617639872954,88.88888888888889,0.056793578544857004
IsSideEffect,279,4062,8,577,-6.8948369452861495,12.43802543651649,98.63247863247864,0.06987683542164268
HasSideEffectCalls,551,3790,29,556,-6.407956337603884,12.793373216751036,95.04273504273503,0.07764464461041094
HasSideEffectFunctions,2589,1752,358,227,-3.092900725934589,11.47043961596766,38.80341880341881,-0.010267251810468425
ImperativeScoreBool,966,3375,66,519,-5.674725781014654,13.328197226502311,88.71794871794872,0.08721209099097421
HasPointsBool,1337,3004,95,490,-5.011326706005351,14.024041213508873,83.76068376068376,0.10372952696514542
ParadigmScoreBool,2233,2108,142,443,-3.3644675987454145,17.36573892591141,75.72649572649573,0.17587964526390007
