name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,1368,23,311,12,-0.27417075271593383,34.285714285714285,3.7151702786377707,0.05700690560034599
IsNested,1391,0,323,0,-0.23220704529115754,0.0,0.0,0.0
HasNestedMethods,1306,85,251,72,-0.28180051770225667,45.85987261146497,22.291021671826623,0.21936004698681713
HasFunctions,1022,369,162,161,-1.0257026038687451,30.377358490566035,49.84520123839009,0.1973028959493349
IsFunction,1371,20,306,17,-0.24365169277064203,45.94594594594595,5.263157894736842,0.1029361349872059
HasFunctionParameters,1304,87,264,59,-0.33902375509967886,40.41095890410959,18.26625386996904,0.1682759459613113
HasHigherOrderCalls,1082,309,165,158,-0.8082543017585406,33.83297644539615,48.91640866873065,0.2345415471700543
HasFunctionCalls,1278,113,270,53,-0.4610999948808463,31.92771084337349,16.408668730650156,0.10955159151441161
HasCurrying,1364,27,297,26,-0.23602192778431896,49.056603773584904,8.04953560371517,0.13799891058443675
HasPatternMatching,1154,237,215,108,-0.7243268869089883,31.30434782608696,33.43653250773993,0.1599395375874674
HasLazyValues,1355,36,288,35,-0.23602192778431896,49.29577464788733,10.8359133126935,0.16186668601689508
HasMultipleParameterLists,1217,174,175,148,-0.331393990113356,45.962732919254655,45.82043343653251,0.3335114681073957
FunctionalScoreBool,1080,311,153,170,-0.770105476826926,35.343035343035346,52.63157894736842,0.26349615917266794
HasVariables,1300,91,254,69,-0.3161344601407101,43.125,21.36222910216718,0.19921984676648272
HasVariableDefinitions,1325,66,276,47,-0.30468981266122563,41.5929203539823,14.551083591331269,0.15453786996276772
HasInnerVariableAssignment,1325,66,278,45,-0.3123195776475485,40.54054054054054,13.93188854489164,0.14598729064522625
HasOuterVariableUsage,1361,30,287,36,-0.20931775033218858,54.54545454545454,11.145510835913312,0.18269028080414626
HasOuterVariableAssignment,1365,26,293,30,-0.21694751531851164,53.57142857142857,9.287925696594428,0.16319628580055406
HasSideEffects,792,599,187,136,-1.9984976396249219,18.503401360544217,42.10526315789473,-0.0075643149149739455
IsSideEffect,388,1003,69,254,-3.0895540326691044,20.20684168655529,78.63777089783281,0.05776217644212013
HasSideEffectCalls,1128,263,194,129,-0.7434012993747956,32.90816326530612,39.93808049535604,0.1958223516475942
HasSideEffectFunctions,1231,160,276,47,-0.6632887670184044,22.705314009661837,14.551083591331269,0.036586328603349524
ImperativeScoreBool,904,487,196,127,-1.6055647428292898,20.684039087947884,39.318885448916404,0.03513745149703116
HasPointsBool,759,632,115,208,-1.8497172223916243,24.761904761904763,64.39628482972137,0.1483332897025329
ParadigmScoreBool,973,418,120,203,-1.0524067813208755,32.689210950080515,62.848297213622295,0.26684308839116
