name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,47,569,4,51,-10.348376623376623,8.225806451612904,92.72727272727272,0.003696857723173939
IsNested,616,0,55,0,-0.08928571428571441,0.0,0.0,0.0
HasNestedMethods,568,48,46,9,-0.8616883116883118,15.789473684210526,16.363636363636363,0.08433411616059115
HasFunctions,413,203,16,39,-3.3373376623376627,16.115702479338843,70.9090909090909,0.21681991329241648
IsFunction,572,44,40,15,-0.6636363636363638,25.423728813559322,27.27272727272727,0.19498937935369304
HasFunctionParameters,547,69,31,24,-0.9805194805194806,25.806451612903224,43.63636363636363,0.257502280180181
HasHigherOrderCalls,458,158,28,27,-2.683766233766234,14.594594594594595,49.09090909090909,0.14389780955757625
HasFunctionCalls,535,81,31,24,-1.2181818181818183,22.857142857142858,43.63636363636363,0.23018854694580387
HasCurrying,589,27,41,14,-0.3467532467532468,34.146341463414636,25.454545454545453,0.24132564634691747
HasPatternMatching,451,165,31,24,-2.881818181818182,12.698412698412698,43.63636363636363,0.10276232484455375
HasLazyValues,3,613,0,55,-11.140584415584415,8.233532934131736,100.0,0.020024578567154165
HasMultipleParameterLists,546,70,35,20,-1.0795454545454546,22.22222222222222,36.36363636363637,0.20123447664776564
FunctionalScoreBool,426,190,19,36,-3.1392857142857142,15.929203539823009,65.45454545454545,0.20088336005841106
HasVariables,65,551,7,48,-10.051298701298702,8.013355592654424,87.27272727272727,-0.019280403901728155
HasVariableDefinitions,611,5,53,2,-0.14870129870129878,28.57142857142857,3.6363636363636362,0.0762618220528964
HasInnerVariableAssignment,551,65,49,6,-1.2577922077922081,8.450704225352112,10.909090909090908,0.0031849958437147473
HasOuterVariableUsage,3,613,0,55,-11.140584415584415,8.233532934131736,100.0,0.020024578567154165
HasOuterVariableAssignment,2,614,0,55,-11.160389610389611,8.221225710014949,100.0,0.01633777563387449
HasSideEffects,571,45,44,11,-0.7626623376623378,19.642857142857142,20.0,0.12591172398391642
IsSideEffect,27,589,5,50,-10.764285714285714,7.82472613458529,90.9090909090909,-0.060598736391318075
HasSideEffectCalls,529,87,47,8,-1.6538961038961042,8.421052631578947,14.545454545454545,0.0033211714222102316
HasSideEffectFunctions,605,11,53,2,-0.2675324675324675,15.384615384615385,3.6363636363636362,0.0368308054949648
ImperativeScoreBool,522,94,44,11,-1.733116883116883,10.476190476190476,20.0,0.035790764487845975
HasPointsBool,351,265,14,41,-4.525649350649351,13.398692810457517,74.54545454545455,0.17363331976186863
ParadigmScoreBool,368,248,18,37,-4.2681818181818185,12.982456140350877,67.27272727272727,0.14990917989376729
