name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,3353,73,638,42,-0.25311888328010723,36.52173913043478,6.176470588235294,0.09114915667212677
IsNested,3426,0,680,0,-0.1984821949795681,0.0,0.0,0.0
HasNestedMethods,3151,275,468,212,-0.30951804539679295,43.53182751540041,31.176470588235293,0.26615410929644945
HasFunctions,3078,348,448,232,-0.4029291576525533,40.0,34.11764705882353,0.25572920084538137
IsFunction,3175,251,582,98,-0.46814068884997107,28.08022922636103,14.411764705882351,0.09444553751439969
HasFunctionParameters,3241,185,586,94,-0.3588673122488928,33.691756272401435,13.823529411764707,0.12442765575750216
HasHigherOrderCalls,2806,620,329,351,-0.6725876515229561,36.148300720906285,51.617647058823536,0.2932468523461413
HasFunctionCalls,3195,231,540,140,-0.3588673122488928,37.735849056603776,20.588235294117645,0.17952714188902905
HasCurrying,3383,43,619,61,-0.16675766628893252,58.65384615384615,8.970588235294118,0.1825390924918888
HasPatternMatching,2800,626,311,369,-0.6514379657291991,37.08542713567839,54.264705882352935,0.31224869823529094
HasLazyValues,3347,79,610,70,-0.214344459324886,46.97986577181208,10.294117647058822,0.15878960856438298
HasMultipleParameterLists,3255,171,593,87,-0.34652999553586783,33.72093023255814,12.794117647058822,0.1195295699478809
FunctionalScoreBool,2888,538,330,350,-0.5298272724150959,39.414414414414416,51.470588235294116,0.32294822055117406
HasVariables,2914,512,425,255,-0.6514379657291991,33.24641460234681,37.5,0.21512649393004674
HasVariableDefinitions,3257,169,580,100,-0.32009288829367133,37.174721189591075,14.705882352941178,0.14682658828005965
HasInnerVariableAssignment,3270,156,614,66,-0.3571048384327462,29.72972972972973,9.705882352941178,0.08469295409401875
HasOuterVariableUsage,2985,441,443,237,-0.5580268534734385,34.95575221238938,34.85294117647059,0.22006760708462733
HasOuterVariableAssignment,3101,325,466,214,-0.3941167885718211,39.70315398886827,31.470588235294116,0.24199978253815857
HasSideEffects,2710,716,377,303,-0.9263838810480411,29.735034347399413,44.55882352941177,0.20361233795237704
IsSideEffect,2859,567,437,243,-0.7695237114110094,30.0,35.73529411764706,0.1792183474380468
HasSideEffectCalls,2863,563,402,278,-0.7007872325812989,33.055885850178356,40.88235294117647,0.22520244676400084
HasSideEffectFunctions,3236,190,518,162,-0.24783146183166793,46.02272727272727,23.823529411764703,0.2426896720338329
ImperativeScoreBool,2869,557,393,287,-0.6743501253391027,34.00473933649289,42.205882352941174,0.23869119828423097
HasPointsBool,2767,659,349,331,-0.776573606675595,33.43434343434343,48.67647058823529,0.2558512133164284
ParadigmScoreBool,1156,2270,313,367,-3.552469867106213,13.917330299582858,53.970588235294116,-0.09528916782554965
