name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursive,521,1,225,3,-0.4241782617463199,75.0,1.3157894736842104,0.0709992938054648
IsNested,522,0,228,0,-0.43678160919540243,0.0,0.0,0.0
HasNestedMethods,508,14,141,87,0.02324057269610802,86.13861386138613,38.15789473684211,0.47802773077652366
HasFunctions,481,41,112,116,0.035843920145190444,73.88535031847134,50.877192982456144,0.4864341322331205
IsFunction,21,501,3,225,-2.1760435571687844,30.991735537190085,98.68421052631578,0.07075366318957939
HasFunctionParameters,489,33,188,40,-0.39266989312361367,54.794520547945204,17.543859649122805,0.17414779140622771
HasHigherOrderCalls,483,39,116,112,0.02324057269610802,74.17218543046357,49.122807017543856,0.47778430710375747
HasFunctionCalls,492,30,192,36,-0.39897156684815505,54.54545454545454,15.789473684210526,0.16305641547135405
HasCurrying,522,0,228,0,-0.43678160919540243,0.0,0.0,0.0
HasPatternMatching,491,31,104,124,0.14927404718693282,80.0,54.385964912280706,0.5503609746685751
HasLazyValues,521,1,215,13,-0.36116152450090744,92.85714285714286,5.701754385964912,0.18726896590235464
HasMultipleParameterLists,478,44,140,88,-0.15950796531558797,66.66666666666666,38.59649122807017,0.36438371315547585
FunctionalScoreBool,464,58,92,136,0.05474894131881425,70.10309278350515,59.64912280701754,0.5098546637352327
HasVariables,503,19,185,43,-0.28554143980641267,69.35483870967742,18.859649122807017,0.25422697186116827
HasVariableDefinitions,516,6,203,25,-0.3170498084291189,80.64516129032258,10.964912280701753,0.22681367468481786
HasInnerVariableAssignment,511,11,196,32,-0.30444646098003636,74.4186046511628,14.035087719298245,0.2360040093222525
HasOuterVariableUsage,508,14,210,18,-0.41157491429723736,56.25,7.894736842105263,0.11864020893784427
HasOuterVariableAssignment,517,5,220,8,-0.41787658802177874,61.53846153846154,3.508771929824561,0.08990703430076
HasSideEffects,472,50,117,111,-0.05237951199838675,68.94409937888199,48.68421052631579,0.4380985153449852
IsSideEffect,432,90,101,127,-0.20361968138737652,58.525345622119815,55.70175438596491,0.3901420115521782
HasSideEffectCalls,451,71,115,113,-0.1721113127646703,61.41304347826087,49.56140350877193,0.3844179623043946
HasSideEffectFunctions,503,19,174,54,-0.21622302883645905,73.97260273972603,23.684210526315788,0.3110564324488596
ImperativeScoreBool,460,62,106,122,-0.05868118572292813,66.30434782608695,53.50877192982456,0.4450474600742592
HasPointsBool,443,79,81,147,-0.00826779592659821,65.04424778761062,64.47368421052632,0.49462754817370413
ParadigmScoreBool,448,74,98,130,-0.08388788062109298,63.725490196078425,57.01754385964912,0.4428471938527799
