name,count,mean,std,min,25%,50%,75%,max
CountRecursiveCalls,947,0.026399155227032733,0.2687769281839893,0.0,0.0,0.0,0.0,6.0
CountNestedDepth,947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CountNestedMethods,947,0.19640971488912354,0.798695946290019,0.0,0.0,0.0,0.0,8.0
CountFunctions,947,0.8310454065469906,1.6491933017575167,0.0,0.0,0.0,1.0,21.0
IsFunction,947,0.01583949313621964,0.12492030272427214,0.0,0.0,0.0,0.0,1.0
CountFunctionParameters,947,0.11298838437170011,0.4098551320306076,0.0,0.0,0.0,0.0,3.0
CountHigherOrderCalls,947,0.5089757127771911,1.022306033563043,0.0,0.0,0.0,1.0,10.0
CountFunctionCalls,947,0.09926082365364308,0.36009964937570377,0.0,0.0,0.0,0.0,3.0
CountCurrying,947,0.014783526927138331,0.14464738280394038,0.0,0.0,0.0,0.0,2.0
CountPatternMatching,947,0.3907074973600845,0.8684256039372349,0.0,0.0,0.0,0.0,10.0
CountLazyValues,947,0.08658922914466737,0.563982069806807,0.0,0.0,0.0,0.0,10.0
CountParameterLists,947,0.2470960929250264,0.5781243952107402,0.0,0.0,0.0,0.0,3.0
FunctionalScoreCount,947,2.275607180570222,3.664737764352394,0.0,0.0,1.0,3.0,27.0
CountVariables,947,0.46462513199577615,2.7107890580128386,0.0,0.0,0.0,0.0,63.0
CountVariableDefinitions,947,0.06335797254487856,0.3188883334071664,0.0,0.0,0.0,0.0,4.0
CountInnerVariableAssignment,947,0.08447729672650475,0.4589281291890617,0.0,0.0,0.0,0.0,6.0
CountOuterVariableUsage,947,0.11932418162618796,1.7300711736316288,0.0,0.0,0.0,0.0,51.0
CountOuterVariableAssignment,947,0.04118268215417107,0.4544749024903841,0.0,0.0,0.0,0.0,12.0
CountSideEffects,947,1.6726504751847941,2.956077633623977,0.0,0.0,0.0,3.0,25.0
IsSideEffect,947,0.26504751847940866,0.44159172124050117,0.0,0.0,0.0,1.0,1.0
CountSideEffectCalls,947,0.5839493136219641,1.592820848481176,0.0,0.0,0.0,0.0,21.0
CountSideEffectFunctions,947,0.03273495248152059,0.21562931271067257,0.0,0.0,0.0,0.0,3.0
ImperativeScoreCount,947,3.2597676874340022,8.043098570717524,0.0,0.0,0.0,4.0,157.0
HasPointsCount,947,0.6789862724392819,0.46711274881696174,0.0,0.0,1.0,1.0,1.0
ParadigmScoreCount,947,0.2921202104156505,0.601030125970857,-1.0,0.0,0.0,1.0,1.0
