name,count,mean,std,min,25%,50%,75%,max
CountRecursiveCalls,633,0.08846761453396525,0.6426874616761438,0.0,0.0,0.0,0.0,12.0
CountNestedDepth,633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CountNestedMethods,633,0.358609794628752,1.1470901384764798,0.0,0.0,0.0,0.0,12.0
CountFunctions,633,2.6571879936808847,5.704846068246474,0.0,0.0,1.0,3.0,63.0
IsFunction,633,0.045813586097946286,0.20924595637231286,0.0,0.0,0.0,0.0,1.0
CountFunctionParameters,633,0.37282780410742494,0.9174923155531746,0.0,0.0,0.0,0.0,6.0
CountHigherOrderCalls,633,1.4281200631911533,3.2347449821409526,0.0,0.0,0.0,2.0,37.0
CountFunctionCalls,633,0.46129541864139023,1.2384285531513812,0.0,0.0,0.0,0.0,17.0
CountCurrying,633,0.0947867298578199,0.398400274612062,0.0,0.0,0.0,0.0,4.0
CountPatternMatching,633,0.5355450236966824,1.3958858156706606,0.0,0.0,0.0,1.0,13.0
CountLazyValues,633,0.09162717219589257,0.5104689207065783,0.0,0.0,0.0,0.0,7.0
CountParameterLists,633,0.21642969984202212,0.5327103066039678,0.0,0.0,0.0,0.0,3.0
FunctionalScoreCount,633,5.818325434439179,11.230757624116299,0.0,0.0,2.0,6.0,109.0
CountVariables,633,1.7330173775671407,6.590398647304557,0.0,0.0,0.0,0.0,87.0
CountVariableDefinitions,633,0.21958925750394945,0.8253088156261503,0.0,0.0,0.0,0.0,8.0
CountInnerVariableAssignment,633,0.3791469194312796,2.243487318228345,0.0,0.0,0.0,0.0,45.0
CountOuterVariableUsage,633,0.48183254344391785,2.3952884509079846,0.0,0.0,0.0,0.0,32.0
CountOuterVariableAssignment,633,0.17061611374407584,1.4083686696588522,0.0,0.0,0.0,0.0,32.0
CountSideEffects,633,2.7756714060031595,8.562701105432156,0.0,0.0,0.0,2.0,165.0
IsSideEffect,633,0.1911532385466035,0.39352041857472025,0.0,0.0,0.0,0.0,1.0
CountSideEffectCalls,633,1.1026856240126381,3.976259738773182,0.0,0.0,0.0,1.0,75.0
CountSideEffectFunctions,633,0.05845181674565561,0.2541966832326352,0.0,0.0,0.0,0.0,2.0
ImperativeScoreCount,633,6.902053712480253,22.676589979919015,0.0,0.0,0.0,4.0,380.0
HasPointsCount,633,0.7756714060031595,0.4174692811643747,0.0,1.0,1.0,1.0,1.0
ParadigmScoreCount,633,0.48467291598234674,0.5926271215282484,-1.0,0.0,1.0,1.0,1.0
