name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CountRecursiveCalls,356,31,325,8.707865168539326,2.5244299674267103
CountNestedDepth,415,34,381,8.19277108433735,2.768729641693811
CountNestedMethods,681,161,520,23.641703377386197,13.110749185667753
CountFunctions,3875,513,3362,13.238709677419354,41.77524429967427
IsFunction,511,74,437,14.481409001956946,6.026058631921824
CountFunctionParameters,727,65,662,8.940852819807429,5.293159609120521
CountHigherOrderCalls,2991,395,2596,13.206285523236375,32.16612377850163
CountFunctionCalls,565,96,469,16.991150442477874,7.81758957654723
CountCurrying,219,47,172,21.461187214611872,3.8273615635179157
CountPatternMatching,2170,365,1805,16.82027649769585,29.723127035830622
CountLazyValues,290,62,228,21.379310344827587,5.048859934853421
CountParameterLists,718,30,688,4.178272980501393,2.44299674267101
FunctionalScoreCount,6044,729,5315,12.061548643282595,59.364820846905545
CountVariables,2503,352,2151,14.06312425089892,28.664495114006517
CountVariableDefinitions,338,60,278,17.75147928994083,4.88599348534202
CountInnerVariableAssignment,366,50,316,13.661202185792352,4.071661237785016
CountOuterVariableUsage,2330,346,1984,14.84978540772532,28.175895765472315
CountOuterVariableAssignment,1199,228,971,19.01584653878232,18.566775244299674
CountSideEffects,6326,651,5675,10.290863104647487,53.013029315960914
IsSideEffect,4692,425,4267,9.057971014492754,34.609120521172635
CountSideEffectCalls,5165,620,4545,12.003872216844142,50.4885993485342
CountSideEffectFunctions,626,131,495,20.926517571884983,10.667752442996743
ImperativeScoreCount,6797,677,6120,9.96027659261439,55.130293159609124
HasPointsCount,10113,961,9152,9.502620389597547,78.25732899022802
ParadigmScoreCount,9894,946,8948,9.561350313321205,77.0358306188925
