name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CountRecursiveCalls,18,2,16,11.11111111111111,0.7936507936507936
CountNestedDepth,80,10,70,12.5,3.968253968253968
CountNestedMethods,157,30,127,19.10828025477707,11.904761904761903
CountFunctions,777,92,685,11.840411840411841,36.507936507936506
IsFunction,33,0,33,0.0,0.0
CountFunctionParameters,186,34,152,18.27956989247312,13.492063492063492
CountHigherOrderCalls,654,90,564,13.761467889908257,35.714285714285715
CountFunctionCalls,116,5,111,4.310344827586207,1.984126984126984
CountCurrying,18,0,18,0.0,0.0
CountPatternMatching,475,71,404,14.947368421052632,28.174603174603174
CountLazyValues,62,10,52,16.129032258064516,3.968253968253968
CountParameterLists,642,90,552,14.018691588785046,35.714285714285715
FunctionalScoreCount,1468,167,1301,11.376021798365123,66.26984126984127
CountVariables,113,12,101,10.619469026548673,4.761904761904762
CountVariableDefinitions,58,9,49,15.517241379310345,3.571428571428571
CountInnerVariableAssignment,57,9,48,15.789473684210526,3.571428571428571
CountOuterVariableUsage,57,3,54,5.263157894736842,1.1904761904761905
CountOuterVariableAssignment,27,2,25,7.4074074074074066,0.7936507936507936
CountSideEffects,700,98,602,14.000000000000002,38.88888888888889
IsSideEffect,368,30,338,8.152173913043478,11.904761904761903
CountSideEffectCalls,362,67,295,18.50828729281768,26.58730158730159
CountSideEffectFunctions,27,4,23,14.814814814814813,1.5873015873015872
ImperativeScoreCount,718,99,619,13.788300835654596,39.285714285714285
HasPointsCount,1802,191,1611,10.599334073251942,75.79365079365078
ParadigmScoreCount,1752,184,1568,10.50228310502283,73.01587301587301
