name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CountRecursiveCalls,15,9,6,60.0,5.555555555555555
CountNestedMethods,92,30,62,32.608695652173914,18.51851851851852
CountFunctions,338,96,242,28.402366863905325,59.25925925925925
IsFunction,15,8,7,53.333333333333336,4.938271604938271
CountFunctionParameters,81,21,60,25.925925925925924,12.962962962962962
CountHigherOrderCalls,281,90,191,32.028469750889684,55.55555555555556
CountFunctionCalls,77,14,63,18.181818181818183,8.641975308641975
CountCurrying,11,5,6,45.45454545454545,3.0864197530864197
CountPatternMatching,235,79,156,33.61702127659574,48.76543209876543
CountLazyValues,43,14,29,32.55813953488372,8.641975308641975
CountParameterLists,180,66,114,36.666666666666664,40.74074074074074
FunctionalScoreCount,514,129,385,25.09727626459144,79.62962962962963
CountVariables,65,17,48,26.153846153846157,10.493827160493826
CountVariableDefinitions,46,14,32,30.434782608695656,8.641975308641975
CountInnerVariableAssignment,45,13,32,28.888888888888886,8.024691358024691
CountOuterVariableUsage,24,4,20,16.666666666666664,2.4691358024691357
CountOuterVariableAssignment,19,4,15,21.052631578947366,2.4691358024691357
CountSideEffects,407,93,314,22.85012285012285,57.407407407407405
IsSideEffect,251,46,205,18.326693227091635,28.39506172839506
CountSideEffectCalls,211,65,146,30.80568720379147,40.123456790123456
CountSideEffectFunctions,25,9,16,36.0,5.555555555555555
ImperativeScoreCount,407,93,314,22.85012285012285,57.407407407407405
HasPointsCount,643,140,503,21.77293934681182,86.41975308641975
ParadigmScoreCount,512,127,385,24.8046875,78.39506172839506
