name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
CountRecursiveCalls,5,2,3,40.0,1.3793103448275863
CountNestedDepth,1,1,0,100.0,0.6896551724137931
CountNestedMethods,99,38,61,38.38383838383838,26.20689655172414
CountFunctions,332,101,231,30.42168674698795,69.6551724137931
IsFunction,30,14,16,46.666666666666664,9.655172413793103
CountFunctionParameters,112,43,69,38.392857142857146,29.655172413793103
CountHigherOrderCalls,281,89,192,31.672597864768683,61.37931034482759
CountFunctionCalls,54,22,32,40.74074074074074,15.172413793103448
CountCurrying,11,5,6,45.45454545454545,3.4482758620689653
CountPatternMatching,252,78,174,30.952380952380953,53.79310344827586
CountLazyValues,44,12,32,27.27272727272727,8.275862068965518
CountParameterLists,213,63,150,29.577464788732392,43.44827586206896
FunctionalScoreCount,494,123,371,24.898785425101213,84.82758620689656
CountVariables,60,23,37,38.333333333333336,15.862068965517242
CountVariableDefinitions,25,11,14,44.0,7.586206896551724
CountInnerVariableAssignment,40,17,23,42.5,11.724137931034482
CountOuterVariableUsage,41,13,28,31.70731707317073,8.96551724137931
CountOuterVariableAssignment,22,8,14,36.36363636363637,5.517241379310345
CountSideEffects,148,45,103,30.405405405405407,31.03448275862069
IsSideEffect,71,23,48,32.3943661971831,15.862068965517242
CountSideEffectCalls,113,38,75,33.6283185840708,26.20689655172414
CountSideEffectFunctions,12,5,7,41.66666666666667,3.4482758620689653
ImperativeScoreCount,156,48,108,30.76923076923077,33.10344827586207
HasPointsCount,526,124,402,23.574144486692013,85.51724137931035
ParadigmScoreCount,508,122,386,24.015748031496063,84.13793103448276
