name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,1460,3,165,5,-0.10306783000281428,62.5,2.941176470588235,0.11967676181232242
CountNestedDepth,1463,0,170,0,-0.11619958988379997,0.0,0.0,0.0
CountNestedMethods,1020,443,125,45,-2.729419806199991,9.221311475409836,26.47058823529412,-0.025416745513289957
CountFunctions,1258,205,104,66,-1.0288569016123188,24.354243542435423,38.82352941176471,0.20366746031255076
IsFunction,7,1456,1,169,-8.566487073298216,10.4,99.41176470588235,-0.004801139746475242
CountFunctionParameters,1375,88,145,25,-0.5298500261348553,22.123893805309734,14.705882352941178,0.10457975026455082
CountHigherOrderCalls,1338,125,108,62,-0.5298500261348553,33.155080213903744,36.470588235294116,0.26782936706981325
CountFunctionCalls,83,1380,13,157,-8.146270757106668,10.214703968770332,92.3529411764706,-0.02562558910100362
CountCurrying,7,1456,1,169,-8.566487073298216,10.4,99.41176470588235,-0.004801139746475242
CountPatternMatching,1247,216,119,51,-1.1995697800651355,19.101123595505616,30.0,0.12581469981601018
CountLazyValues,1452,11,165,5,-0.15559486952675772,31.25,2.941176470588235,0.06787912870059565
CountParameterLists,1330,133,130,40,-0.7268264243496436,23.121387283236995,23.52941176470588,0.1432746320887822
FunctionalScoreCount,1190,273,98,72,-1.4359414579228815,20.869565217391305,42.35294117647059,0.17725269972819716
CountVariables,1461,2,165,5,-0.0965019500623212,71.42857142857143,2.941176470588235,0.1310956549310119
CountVariableDefinitions,1462,1,167,3,-0.10306783000281428,75.0,1.7647058823529411,0.10480267404000385
CountInnerVariableAssignment,1462,1,167,3,-0.10306783000281428,75.0,1.7647058823529411,0.10480267404000385
CountOuterVariableUsage,1462,1,167,3,-0.10306783000281428,75.0,1.7647058823529411,0.10480267404000385
CountOuterVariableAssignment,1315,148,154,16,-0.9828957420288684,9.75609756097561,9.411764705882353,-0.007157389571034673
CountSideEffects,1434,29,140,30,-0.10963370994330712,50.847457627118644,17.647058823529413,0.25635627630212837
IsSideEffect,13,1450,2,168,-8.533657673595751,10.3831891223733,98.82352941176471,-0.009215767516372196
CountSideEffectCalls,1446,17,159,11,-0.15559486952675772,39.285714285714285,6.470588235294119,0.12488476630465728
CountSideEffectFunctions,147,1316,17,153,-7.752317960677091,10.415248468345814,90.0,0.0004861468943796382
ImperativeScoreCount,1434,29,141,29,-0.11619958988379997,50.0,17.058823529411764,0.2487686349991515
HasPointsCount,795,668,73,97,-3.86531703590527,12.679738562091503,57.05882352941176,0.0697639686201245
ParadigmScoreCount,816,647,91,79,-3.8456193960837908,10.881542699724518,46.470588235294116,0.013805752828629362
