name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,67,600,10,201,-2.8055379892991903,25.0936329588015,95.260663507109,0.08014572946572848
CountNestedDepth,667,0,211,0,-0.3163418290854576,0.0,0.0,0.0
CountNestedMethods,623,44,151,60,-0.2165244392022001,57.692307692307686,28.436018957345972,0.28877264642239947
CountFunctions,512,155,141,70,-0.8466217128402629,31.11111111111111,33.175355450236964,0.09725467265220963
IsFunction,622,45,187,24,-0.4473521533072331,34.78260869565217,11.374407582938389,0.07348151933652933
CountFunctionParameters,595,72,136,75,-0.29762606848234685,51.02040816326531,35.54502369668246,0.2832496483195774
CountHigherOrderCalls,509,158,125,86,-0.7655200835601161,35.24590163934426,40.758293838862556,0.1628177063607877
CountFunctionCalls,544,123,143,68,-0.6594641068091551,35.602094240837694,32.22748815165877,0.1427807592130745
CountCurrying,635,32,182,29,-0.33505758968856836,47.540983606557376,13.744075829383887,0.15034193429019266
CountPatternMatching,482,185,112,99,-0.8528602997079664,34.859154929577464,46.91943127962085,0.17521652217244627
CountLazyValues,3,664,0,211,-3.1424216801551843,24.114285714285714,100.0,0.03293327431131658
CountParameterLists,596,71,134,77,-0.2789103078792361,52.02702702702703,36.492890995260666,0.2950138370909366
FunctionalScoreCount,489,178,105,106,-0.7655200835601161,37.32394366197183,50.23696682464455,0.21510394884374986
CountVariables,7,660,4,207,-3.1424216801551843,23.875432525951556,98.10426540284361,-0.03250885890395244
CountVariableDefinitions,132,535,46,165,-2.6246189701357863,23.57142857142857,78.19905213270142,-0.021370922518463883
CountInnerVariableAssignment,6,661,4,207,-3.148660267022888,23.847926267281107,98.10426540284361,-0.040112894974395234
CountOuterVariableUsage,3,664,0,211,-3.1424216801551843,24.114285714285714,100.0,0.03293327431131658
CountOuterVariableAssignment,2,665,0,211,-3.148660267022888,24.08675799086758,100.0,0.026874553371480783
CountSideEffects,45,622,22,189,-3.0176499428011123,23.304562268803945,89.57345971563981,-0.05922348201827562
IsSideEffect,26,641,16,195,-3.098751572081259,23.32535885167464,92.41706161137441,-0.07377353328435175
CountSideEffectCalls,34,633,16,195,-3.04884287713963,23.55072463768116,92.41706161137441,-0.045826373452305176
CountSideEffectFunctions,11,656,2,209,-3.1049901589489624,24.161849710982658,99.0521327014218,0.024810372123498917
ImperativeScoreCount,45,622,23,188,-3.023888529668816,23.209876543209877,89.0995260663507,-0.06639841319533304
HasPointsCount,379,288,59,152,-1.1647896430931457,34.54545454545455,72.03791469194313,0.24662074894335306
ParadigmScoreCount,394,273,68,143,-1.1273581218869242,34.375,67.77251184834124,0.22970326302916874
