name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,3102,8,289,18,-0.06292510238067783,69.23076923076923,5.863192182410423,0.18447971155328732
CountNestedDepth,3110,0,307,0,-0.09871382636655923,0.0,0.0,0.0
CountNestedMethods,2229,881,221,86,-2.9439173832441314,8.89348500517063,28.013029315960914,-0.001999345118309815
CountFunctions,2581,529,183,124,-1.5481571477947562,18.98928024502297,40.390879478827365,0.17005569684301394
IsFunction,13,3097,1,306,-10.087346690826061,8.9920658242727,99.6742671009772,0.0041307749412589105
CountFunctionParameters,2653,457,245,62,-1.512368423808875,11.946050096339114,20.195439739413683,0.04382790733177604
CountHigherOrderCalls,2727,383,197,110,-1.075745991181122,22.31237322515213,35.83061889250814,0.19137780677760016
CountFunctionCalls,165,2945,23,284,-9.622093279009603,8.795292660266336,92.50814332247556,-0.027419791921176644
CountCurrying,10,3100,1,306,-10.098083308021826,8.984145625366999,99.6742671009772,-0.00021149102628791825
CountPatternMatching,2510,600,201,106,-1.866676791269101,15.01416430594901,34.527687296416936,0.10760367192199084
CountLazyValues,2765,345,268,39,-1.1938487803345303,10.15625,12.703583061889251,0.014580214889758508
CountParameterLists,2912,198,257,50,-0.6283869413576042,20.161290322580644,16.286644951140065,0.10933968944466083
FunctionalScoreCount,2523,587,178,129,-1.7378373849199278,18.01675977653631,42.01954397394137,0.1626247901075177
CountVariables,2467,643,248,59,-2.1887753071420337,8.404558404558404,19.218241042345277,-0.010312298968060617
CountVariableDefinitions,319,2791,37,270,-9.121051143207263,8.820646847435478,87.94788273615634,-0.016800753143322047
CountInnerVariableAssignment,319,2791,37,270,-9.121051143207263,8.820646847435478,87.94788273615634,-0.016800753143322047
CountOuterVariableUsage,2789,321,273,34,-1.1258502047613557,9.577464788732394,11.074918566775244,0.007060637392280982
CountOuterVariableAssignment,2791,319,277,30,-1.133007949558532,8.595988538681947,9.77198697068404,-0.0045821840243410695
CountSideEffects,3005,105,260,47,-0.3062884254846714,30.92105263157895,15.309446254071663,0.16551767896447236
IsSideEffect,33,3077,2,305,-10.019348115252887,9.01833234772324,99.3485342019544,0.011633693289860966
CountSideEffectCalls,2447,663,241,66,-2.2353006483236797,9.053497942386832,21.49837133550489,0.001256747697093635
CountSideEffectFunctions,3110,0,307,0,-0.09871382636655923,0.0,0.0,0.0
ImperativeScoreCount,3008,102,260,47,-0.29555180828890704,31.543624161073826,15.309446254071663,0.16844966320042803
HasPointsCount,1652,1458,131,176,-4.686828241356556,10.771113831089352,57.32899022801303,0.05981074877221536
ParadigmScoreCount,1733,1377,158,149,-4.493569131832796,9.764089121887288,48.534201954397396,0.024490565879965984
