name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,7202,160,1254,104,-0.23330448639853052,39.39393939393939,7.658321060382916,0.11607531248578092
CountNestedDepth,7362,0,1358,0,-0.18446074436294513,0.0,0.0,0.0
CountNestedMethods,6628,734,1173,185,-0.663303858247523,20.130576713819366,13.622974963181148,0.0431367780910878
CountFunctions,5746,1616,811,547,-1.1168528914351015,25.28895053166898,40.27982326951399,0.15389057497207945
IsFunction,513,6849,200,1158,-5.148206028729308,14.462345447733233,85.27245949926362,-0.10268146922822852
CountFunctionParameters,6942,420,1116,242,-0.33971406726177,36.5558912386707,17.820324005891017,0.16585983193424628
CountHigherOrderCalls,6108,1254,779,579,-0.77320227782759,31.58756137479542,42.63622974963181,0.22784485924823691
CountFunctionCalls,935,6427,209,1149,-4.787983431216865,15.166314677930307,84.60972017673049,-0.028890511786173387
CountCurrying,7079,283,1222,136,-0.3126755672063566,32.4582338902148,10.014727540500736,0.10461824540582136
CountPatternMatching,6091,1271,822,536,-0.8255348585800029,29.662423907028224,39.46980854197349,0.19865320078560436
CountLazyValues,7069,293,1218,140,-0.31790882528159803,32.33256351039261,10.309278350515463,0.10564925842016504
CountParameterLists,6990,372,1111,247,-0.2934869542638052,39.903069466882066,18.188512518409425,0.185473133344298
FunctionalScoreCount,5708,1654,831,527,-1.1674410528291004,24.163227877120587,38.80706921944036,0.13681244280403967
CountVariables,6094,1268,964,394,-0.9467720039897594,23.706377858002405,29.013254786450666,0.10884118462740297
CountVariableDefinitions,6822,540,1208,150,-0.5246225192536289,21.73913043478261,11.045655375552283,0.04984486078277441
CountInnerVariableAssignment,7067,295,1223,135,-0.3240142930360461,31.3953488372093,9.941089837997055,0.09937697728666443
CountOuterVariableUsage,6059,1303,963,395,-0.9764271330827934,23.26266195524146,29.086892488954348,0.10427785550954952
CountOuterVariableAssignment,6152,1210,973,385,-0.9040337297086223,24.137931034482758,28.350515463917525,0.11175332904884568
CountSideEffects,5704,1658,876,482,-1.2101793271102377,22.523364485981308,35.49337260677467,0.10930639283764564
IsSideEffect,4775,2587,785,573,-1.9410910382856041,18.132911392405063,42.19440353460972,0.05321484970051711
CountSideEffectCalls,5825,1537,886,472,-1.113364052718274,23.494275759084122,34.75699558173785,0.11951943886852887
CountSideEffectFunctions,6823,539,1015,343,-0.3554138414874939,38.88888888888889,25.257731958762886,0.21569743730187774
ImperativeScoreCount,5899,1463,876,482,-1.0400984396648956,24.781491002570693,35.49337260677467,0.13606414870450134
HasPointsCount,3791,3571,566,792,-2.608331442878869,18.152647261058906,58.32106038291606,0.07118056400085233
ParadigmScoreCount,3236,4126,697,661,-3.2066672828147897,13.808230624608314,48.674521354933724,-0.05370608114744712
