name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,521,1,225,3,-0.4241782617463199,75.0,1.3157894736842104,0.0709992938054648
CountNestedDepth,522,0,228,0,-0.43678160919540243,0.0,0.0,0.0
CountNestedMethods,508,14,141,87,0.02324057269610802,86.13861386138613,38.15789473684211,0.47802773077652366
CountFunctions,468,54,111,117,-0.03977616454930444,68.42105263157895,51.31578947368421,0.44920181056836833
IsFunction,21,501,3,225,-2.1760435571687844,30.991735537190085,98.68421052631578,0.07075366318957939
CountFunctionParameters,489,33,188,40,-0.39266989312361367,54.794520547945204,17.543859649122805,0.17414779140622771
CountHigherOrderCalls,465,57,111,117,-0.05868118572292813,67.24137931034483,51.31578947368421,0.4402079203795046
CountFunctionCalls,492,30,192,36,-0.39897156684815505,54.54545454545454,15.789473684210526,0.16305641547135405
CountCurrying,522,0,228,0,-0.43678160919540243,0.0,0.0,0.0
CountPatternMatching,453,69,83,145,0.04214559386973171,67.7570093457944,63.59649122807017,0.5131628178852583
CountLazyValues,521,1,215,13,-0.36116152450090744,92.85714285714286,5.701754385964912,0.18726896590235464
CountParameterLists,478,44,140,88,-0.15950796531558797,66.66666666666666,38.59649122807017,0.36438371315547585
FunctionalScoreCount,476,46,95,133,0.11146400483968533,74.30167597765363,58.333333333333336,0.5343774827265068
CountVariables,503,19,185,43,-0.28554143980641267,69.35483870967742,18.859649122807017,0.25422697186116827
CountVariableDefinitions,516,6,203,25,-0.3170498084291189,80.64516129032258,10.964912280701753,0.22681367468481786
CountInnerVariableAssignment,511,11,196,32,-0.30444646098003636,74.4186046511628,14.035087719298245,0.2360040093222525
CountOuterVariableUsage,508,14,210,18,-0.41157491429723736,56.25,7.894736842105263,0.11864020893784427
CountOuterVariableAssignment,517,5,220,8,-0.41787658802177874,61.53846153846154,3.508771929824561,0.08990703430076
CountSideEffects,471,51,118,110,-0.06498285944746929,68.32298136645963,48.24561403508772,0.4310387867877951
IsSideEffect,432,90,101,127,-0.20361968138737652,58.525345622119815,55.70175438596491,0.3901420115521782
CountSideEffectCalls,474,48,134,94,-0.14690461786650544,66.19718309859155,41.228070175438596,0.3760969608839922
CountSideEffectFunctions,503,19,174,54,-0.21622302883645905,73.97260273972603,23.684210526315788,0.3110564324488596
ImperativeScoreCount,473,49,114,114,-0.027172817100221902,69.93865030674846,50.0,0.4529551273131
HasPointsCount,443,79,81,147,-0.00826779592659821,65.04424778761062,64.47368421052632,0.49462754817370413
ParadigmScoreCount,448,74,97,131,-0.07758620689655182,63.90243902439025,57.45614035087719,0.44669767621204015
