name,tn,fp,fn,tp,r2,precision,recall,mcc
CountRecursiveCalls,69,598,14,197,-2.8180151630345973,24.77987421383648,93.36492890995261,0.05417849516134452
CountNestedDepth,667,0,211,0,-0.3163418290854576,0.0,0.0,0.0
CountNestedMethods,618,49,144,67,-0.20404726546679286,57.758620689655174,31.753554502369667,0.30797546279199156
CountFunctions,562,105,123,88,-0.4223978058364186,45.59585492227979,41.70616113744076,0.267887434707308
IsFunction,622,45,187,24,-0.4473521533072331,34.78260869565217,11.374407582938389,0.07348151933652933
CountFunctionParameters,588,79,131,80,-0.3101032422177541,50.314465408805034,37.91469194312796,0.28926267394074046
CountHigherOrderCalls,537,130,119,92,-0.5534081300581941,41.44144144144144,43.60189573459716,0.2370295565358303
CountFunctionCalls,519,148,115,96,-0.6407483462060444,39.34426229508197,45.497630331753555,0.2223223459648385
CountCurrying,634,33,182,29,-0.34129617655627187,46.774193548387096,13.744075829383887,0.14671535741427202
CountPatternMatching,568,99,136,75,-0.46606791391034386,43.103448275862064,35.54502369668246,0.22190384636557683
CountLazyValues,3,664,0,211,-3.1424216801551843,24.114285714285714,100.0,0.03293327431131658
CountParameterLists,588,79,129,82,-0.29762606848234685,50.931677018633536,38.862559241706165,0.2983270009816799
FunctionalScoreCount,559,108,118,93,-0.4099206321010114,46.26865671641791,44.07582938388626,0.28357353213788605
CountVariables,7,660,4,207,-3.1424216801551843,23.875432525951556,98.10426540284361,-0.03250885890395244
CountVariableDefinitions,662,5,207,4,-0.3225804159531611,44.44444444444444,1.8957345971563981,0.048618222836448864
CountInnerVariableAssignment,6,661,4,207,-3.148660267022888,23.847926267281107,98.10426540284361,-0.040112894974395234
CountOuterVariableUsage,3,664,0,211,-3.1424216801551843,24.114285714285714,100.0,0.03293327431131658
CountOuterVariableAssignment,2,665,0,211,-3.148660267022888,24.08675799086758,100.0,0.026874553371480783
CountSideEffects,561,106,182,29,-0.7967130178986341,21.48148148148148,13.744075829383887,-0.02544325739388444
IsSideEffect,641,26,195,16,-0.3787276977624936,38.095238095238095,7.5829383886255926,0.07377353328435175
CountSideEffectCalls,34,633,16,195,-3.04884287713963,23.55072463768116,92.41706161137441,-0.045826373452305176
CountSideEffectFunctions,11,656,2,209,-3.1049901589489624,24.161849710982658,99.0521327014218,0.024810372123498917
ImperativeScoreCount,266,401,94,117,-2.0881004995132773,22.586872586872587,55.45023696682464,-0.04056740986548733
HasPointsCount,566,101,120,91,-0.3787276977624936,47.39583333333333,43.127962085308056,0.28928443018291494
ParadigmScoreCount,539,128,96,115,-0.39744345836560435,47.325102880658434,54.502369668246445,0.33723763029198317
