name,count,mean,std,min,25%,50%,75%,max
FractionRecursiveCalls,1714,0.0009300089006473012,0.013897123058722118,0.0,0.0,0.0,0.0,0.4
IsNested,1714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionNestedMethods,1714,0.018065003309321464,0.08238078594471299,0.0,0.0,0.0,0.0,0.7543859649122806
FractionFunctions,1714,0.09607384506464793,0.19665947839320383,0.0,0.0,0.0,0.1111111111111111,1.0
IsFunction,1714,0.009548091011119938,0.07055595225208074,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,1714,0.05186730058213135,0.1925857568006797,0.0,0.0,0.0,0.0,1.0
FractionHigherOrderCalls,1714,0.06524591191166046,0.14404165793876123,0.0,0.0,0.0,0.0661754863428625,1.0
FractionFunctionCalls,1714,0.019596015396443133,0.11417584440258687,0.0,0.0,0.0,0.0,1.0
FractionCurrying,1714,0.0022864713219076667,0.017546601311848948,0.0,0.0,0.0,0.0,0.2857142857142857
FractionPatternMatching,1714,0.054890611355139535,0.15396386526856637,0.0,0.0,0.0,0.003456221198156682,1.0
FractionLazyValues,1714,0.0044575768021008644,0.03394374828290442,0.0,0.0,0.0,0.0,0.5
HasMultipleParameterLists,1714,0.13012115670950994,0.29034670702339144,0.0,0.0,0.0,0.0,1.0
FunctionalScoreFraction,1714,0.4530819923646296,0.640462756291799,0.0,0.0,0.08,0.8,3.571428571428571
FractionVariables,1714,0.013908847675330275,0.0638434395394058,0.0,0.0,0.0,0.0,0.7692307692307693
FractionVariableDefinitions,1714,0.002938953856303423,0.020925381191863913,0.0,0.0,0.0,0.0,0.375
FractionInnerVariableAssignment,1714,0.0026237174152700573,0.015549309095879652,0.0,0.0,0.0,0.0,0.3076923076923077
FractionOuterVariableUsage,1714,0.00590430222432208,0.042897465744131946,0.0,0.0,0.0,0.0,0.5501587301587302
FractionOuterVariableAssignment,1714,0.00229220491843246,0.019541555282243408,0.0,0.0,0.0,0.0,0.4
FractionSideEffects,1714,0.22493080010318725,0.3474219965207794,0.0,0.0,0.0,0.3333333333333333,1.0
IsSideEffect,1714,0.1899990091825677,0.3485449615552555,0.0,0.0,0.0,0.25,1.0
FractionSideEffectCalls,1714,0.03331587608621263,0.09039162844690789,0.0,0.0,0.0,0.008896026359261653,0.75
FractionSideEffectFunctions,1714,0.001847589458211087,0.026514736678883606,0.0,0.0,0.0,0.0,1.0
ImperativeScoreFraction,1714,0.477761300919837,0.746846618612918,0.0,0.0,0.0,0.7458333333333332,3.4226190476190474
HasPointsFraction,1714,0.5482859658644281,0.41997096523010546,0.0,0.0,0.6,1.0,1.0
ParadigmScoreFraction,1714,0.045820069876115053,0.5969553403531443,-1.0,-0.3333333333333333,0.0,0.5,1.0
