name,count,mean,std,min,25%,50%,75%,max
FractionRecursiveCalls,4106,0.003898147537178998,0.032864485047396245,0.0,0.0,0.0,0.0,1.0
IsNested,4106,0.00024354603019970775,0.015605961367365606,0.0,0.0,0.0,0.0,1.0
FractionNestedMethods,4106,0.06705754636249651,0.20205654889218477,0.0,0.0,0.0,0.0,1.0
FractionFunctions,4106,0.20781466989654954,0.3593890937740239,0.0,0.0,0.0,0.25,1.0
IsFunction,4106,0.084997564539698,0.27891203716656926,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,4106,0.06794934242571846,0.25168960518881867,0.0,0.0,0.0,0.0,1.0
FractionHigherOrderCalls,4106,0.11800726817082634,0.2591986557966824,0.0,0.0,0.0,0.0,1.0
FractionFunctionCalls,4106,0.023407563299290706,0.11382171634930237,0.0,0.0,0.0,0.0,1.0
FractionCurrying,4106,0.012174989976396473,0.09421696487515492,0.0,0.0,0.0,0.0,1.0
FractionPatternMatching,4106,0.17375032235769028,0.33704991055174666,0.0,0.0,0.0,0.0,1.0
FractionLazyValues,4106,0.010440866134814103,0.07964161686839344,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,4106,0.0628348757915246,0.24269528071295035,0.0,0.0,0.0,0.0,1.0
FunctionalScoreFraction,4106,0.7058276016504845,0.9704822634208373,0.0,0.0,0.0,1.1530558482613276,6.0
FractionVariables,4106,0.09121536512668262,0.23533015551113248,0.0,0.0,0.0,0.0,1.0
FractionVariableDefinitions,4106,0.005210609866790011,0.02398300578463486,0.0,0.0,0.0,0.0,0.3076923076923077
FractionInnerVariableAssignment,4106,0.009159613431504484,0.05258587202429183,0.0,0.0,0.0,0.0,1.0
FractionOuterVariableUsage,4106,0.07753739979113462,0.22221215029794492,0.0,0.0,0.0,0.0,1.0
FractionOuterVariableAssignment,4106,0.03387326060277549,0.1259904171537396,0.0,0.0,0.0,0.0,1.0
FractionSideEffects,4106,0.37262554315427204,0.4594196241364778,0.0,0.0,0.0,1.0,1.0
IsSideEffect,4106,0.31344374086702387,0.4639495503423669,0.0,0.0,0.0,1.0,1.0
FractionSideEffectCalls,4106,0.21154691354142535,0.328405102815832,0.0,0.0,0.0,0.3809523809523809,1.0
FractionSideEffectFunctions,4106,0.02920805980429449,0.12127942850600873,0.0,0.0,0.0,0.0,1.0
ImperativeScoreFraction,4106,1.0665500917912087,1.4281395311552085,0.0,0.0,0.0,2.2302197802197803,6.0
HasPointsFraction,4106,0.6171456405260595,0.4861424248351461,0.0,0.0,1.0,1.0,1.0
ParadigmScoreFraction,4106,0.19856846729051003,0.6113119390521553,-1.0,0.0,0.0,1.0,1.0
