name,count,mean,std,min,25%,50%,75%,max
FractionRecursiveCalls,2134,0.010353721349277173,0.06231162178115969,0.0,0.0,0.0,0.0,0.5
IsNested,2134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FractionNestedMethods,2134,0.06845987814048898,0.20357623786743312,0.0,0.0,0.0,0.0,1.0
FractionFunctions,2134,0.48267073633625807,0.41825530263137567,0.0,0.0,0.5,1.0,1.0
IsFunction,2134,0.03748828491096532,0.18999955240542782,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,2134,0.2422680412371134,0.42855606553112974,0.0,0.0,0.0,0.0,1.0
FractionHigherOrderCalls,2134,0.36611860818207936,0.3990530329953257,0.0,0.0,0.16666666666666666,0.8,1.0
FractionFunctionCalls,2134,0.15551699558918208,0.2792470847471389,0.0,0.0,0.0,0.2,1.0
FractionCurrying,2134,0.02378495532320817,0.1178061981616168,0.0,0.0,0.0,0.0,1.0
FractionPatternMatching,2134,0.20023210018679247,0.3408016529532428,0.0,0.0,0.0,0.25,1.0
FractionLazyValues,2134,0.012432547796484473,0.09151080180602078,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,2134,0.13776944704779756,0.34473862209773515,0.0,0.0,0.0,0.0,1.0
FunctionalScoreFraction,2134,1.5266971548023536,1.383545979873182,0.0,0.0,1.3693181818181819,2.5,5.5740740740740735
FractionVariables,2134,0.037447804991545444,0.15193484713396632,0.0,0.0,0.0,0.0,1.0
FractionVariableDefinitions,2134,0.006642923822252403,0.031726197810259774,0.0,0.0,0.0,0.0,0.25
FractionInnerVariableAssignment,2134,0.00928269227930146,0.047362929369768686,0.0,0.0,0.0,0.0,0.5
FractionOuterVariableUsage,2134,0.019701328296404447,0.1198289206681262,0.0,0.0,0.0,0.0,1.0
FractionOuterVariableAssignment,2134,0.008580914015329828,0.06962332504506168,0.0,0.0,0.0,0.0,1.0
FractionSideEffects,2134,0.18541997512312705,0.34557388097443675,0.0,0.0,0.0,0.2222222222222222,1.0
IsSideEffect,2134,0.08622305529522024,0.2807589321416974,0.0,0.0,0.0,0.0,1.0
FractionSideEffectCalls,2134,0.06371650839024241,0.1760251879814132,0.0,0.0,0.0,0.0,1.0
FractionSideEffectFunctions,2134,0.016509926807489167,0.08587404779748543,0.0,0.0,0.0,0.0,1.0
ImperativeScoreFraction,2134,0.3993800427800564,0.8955225015706272,0.0,0.0,0.0,0.25,6.0
HasPointsFraction,2134,0.7478912839737581,0.434325117754826,0.0,0.0,1.0,1.0,1.0
ParadigmScoreFraction,2134,0.5912792032784743,0.5340904534756941,-1.0,0.0,1.0,1.0,1.0
