name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FractionRecursiveCalls,124,6,118,4.838709677419355,1.3605442176870748
IsNested,235,23,212,9.787234042553191,5.215419501133787
FractionNestedMethods,1653,119,1534,7.1990320629159115,26.984126984126984
FractionFunctions,1473,144,1329,9.775967413441954,32.6530612244898
IsFunction,34,0,34,0.0,0.0
HasFunctionParameters,281,22,259,7.829181494661921,4.988662131519274
FractionHigherOrderCalls,1150,123,1027,10.695652173913043,27.89115646258503
FractionFunctionCalls,256,10,246,3.90625,2.2675736961451247
FractionCurrying,12,1,11,8.333333333333332,0.22675736961451248
FractionPatternMatching,1220,130,1090,10.655737704918032,29.47845804988662
FractionLazyValues,51,6,45,11.76470588235294,1.3605442176870748
HasMultipleParameterLists,509,35,474,6.8762278978389,7.936507936507936
FunctionalScoreFraction,3503,278,3225,7.936054810162718,63.038548752834465
FractionVariables,56,5,51,8.928571428571429,1.1337868480725624
FractionVariableDefinitions,24,1,23,4.166666666666666,0.22675736961451248
FractionInnerVariableAssignment,24,1,23,4.166666666666666,0.22675736961451248
FractionOuterVariableUsage,40,5,35,12.5,1.1337868480725624
FractionOuterVariableAssignment,18,1,17,5.555555555555555,0.22675736961451248
FractionSideEffects,355,47,308,13.239436619718308,10.657596371882086
IsSideEffect,42,0,42,0.0,0.0
FractionSideEffectCalls,124,7,117,5.64516129032258,1.5873015873015872
FractionSideEffectFunctions,2,1,1,50.0,0.22675736961451248
ImperativeScoreFraction,366,49,317,13.387978142076504,11.11111111111111
HasPointsFraction,3640,279,3361,7.664835164835165,63.26530612244898
ParadigmScoreFraction,3623,279,3344,7.700800441622964,63.26530612244898
