name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
FractionRecursiveCalls,22,8,14,36.36363636363637,11.11111111111111
FractionNestedMethods,103,23,80,22.330097087378643,31.944444444444443
FractionFunctions,354,55,299,15.53672316384181,76.38888888888889
IsFunction,29,12,17,41.37931034482759,16.666666666666664
HasFunctionParameters,140,38,102,27.142857142857142,52.77777777777778
FractionHigherOrderCalls,293,52,241,17.747440273037544,72.22222222222221
FractionFunctionCalls,145,28,117,19.310344827586206,38.88888888888889
FractionCurrying,43,14,29,32.55813953488372,19.444444444444446
FractionPatternMatching,185,33,152,17.83783783783784,45.83333333333333
FractionLazyValues,31,11,20,35.483870967741936,15.277777777777779
HasMultipleParameterLists,109,30,79,27.522935779816514,41.66666666666667
FunctionalScoreFraction,440,57,383,12.954545454545455,79.16666666666666
FractionVariables,102,14,88,13.725490196078432,19.444444444444446
FractionVariableDefinitions,59,12,47,20.33898305084746,16.666666666666664
FractionInnerVariableAssignment,56,12,44,21.428571428571427,16.666666666666664
FractionOuterVariableUsage,66,4,62,6.0606060606060606,5.555555555555555
FractionOuterVariableAssignment,37,2,35,5.405405405405405,2.7777777777777777
FractionSideEffects,269,38,231,14.12639405204461,52.77777777777778
IsSideEffect,121,11,110,9.090909090909092,15.277777777777779
FractionSideEffectCalls,199,26,173,13.06532663316583,36.11111111111111
FractionSideEffectFunctions,34,8,26,23.52941176470588,11.11111111111111
ImperativeScoreFraction,279,38,241,13.620071684587815,52.77777777777778
HasPointsFraction,491,61,430,12.423625254582484,84.72222222222221
ParadigmScoreFraction,432,57,375,13.194444444444445,79.16666666666666
