name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,2772,324,214,25,-1.4248186349237244,7.163323782234957,10.460251046025103,-4.099637519627757e-05
IsNested,3009,87,227,12,-0.41522872001124433,12.121212121212121,5.02092050209205,0.03359970560246108
FractionNestedMethods,2954,142,215,24,-0.609033926891765,14.457831325301203,10.0418410041841,0.06469952999444811
FractionFunctions,2414,682,170,69,-2.8400473549349683,9.187749667110518,28.870292887029287,0.04224817614173419
IsFunction,3057,39,233,6,-0.2259306109651542,13.333333333333334,2.510460251046025,0.02796229355608679
HasFunctionParameters,2814,282,207,32,-1.2039708410366194,10.191082802547772,13.389121338912133,0.03780622365633797
FractionHigherOrderCalls,2340,756,177,62,-3.2051222795238568,7.579462102689487,25.94142259414226,0.00912912496961567
FractionFunctionCalls,2732,364,204,35,-1.5600315699566458,8.771929824561402,14.644351464435147,0.022946617127938676
FractionCurrying,2778,318,217,22,-1.4112973414204322,6.470588235294119,9.205020920502092,-0.009089493948627713
FractionPatternMatching,2697,399,155,84,-1.4969322002746157,17.391304347826086,35.146443514644346,0.16313748295386737
FractionLazyValues,59,3037,6,233,-12.715098710172663,7.125382262996942,97.48953974895397,-0.011283999507310224
HasMultipleParameterLists,2564,532,153,86,-2.0873620165850393,13.915857605177994,35.98326359832636,0.12479972358363813
FunctionalScoreFraction,2048,1048,96,143,-4.156119922588737,12.00671704450042,59.83263598326359,0.1398660160473633
FractionVariables,3007,89,219,20,-0.3881861330046599,18.34862385321101,8.368200836820083,0.07969021693417683
FractionVariableDefinitions,3071,25,232,7,-0.1583241434486935,21.875,2.928870292887029,0.05612908412794275
FractionInnerVariableAssignment,3048,48,228,11,-0.24395900230287704,18.64406779661017,4.602510460251046,0.05971775686842641
FractionOuterVariableUsage,3032,64,225,14,-0.30255127415047633,17.94871794871795,5.857740585774058,0.06469136153077072
FractionOuterVariableAssignment,2759,337,212,27,-1.4743967111024623,7.417582417582418,11.297071129707113,0.003408442564802921
FractionSideEffects,2861,235,192,47,-0.924530775301915,16.666666666666664,19.665271966527197,0.11194187887945377
IsSideEffect,2975,121,215,24,-0.5143848723687199,16.551724137931036,10.0418410041841,0.07757710535108736
FractionSideEffectCalls,2916,180,201,38,-0.717204274918102,17.431192660550458,15.899581589958158,0.10524603138284121
FractionSideEffectFunctions,3086,10,235,4,-0.10423896943552502,28.57142857142857,1.6736401673640167,0.053881721521926405
ImperativeScoreFraction,2847,249,193,46,-0.9921372428183757,15.593220338983052,19.246861924686193,0.1017732157816231
HasPointsFraction,1661,1435,49,190,-5.68853318629518,11.692307692307692,79.49790794979079,0.17105237951692454
ParadigmScoreFraction,1901,1195,91,148,-4.796127815077899,11.020104244229337,61.92468619246861,0.12267787370294296
