name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,779,6,153,9,-0.18402925218211807,60.0,5.555555555555555,0.14450579272761105
IsNested,785,0,162,0,-0.2063694267515921,0.0,0.0,0.0
FractionNestedMethods,726,59,133,29,-0.42977117244633134,32.95454545454545,17.901234567901234,0.13470196284532426
FractionFunctions,604,181,99,63,-1.0850829598175666,25.81967213114754,38.88888888888889,0.1363149793816184
IsFunction,778,7,154,8,-0.19892270189510075,53.333333333333336,4.938271604938271,0.12204608721094477
HasFunctionParameters,725,60,141,21,-0.49679169615475316,25.925925925925924,12.962962962962962,0.07162654614454235
FractionHigherOrderCalls,639,146,90,72,-0.7574270661319489,33.02752293577982,44.44444444444444,0.23120058663114507
FractionFunctionCalls,62,723,14,148,-4.4882362192340945,16.991963260619976,91.35802469135803,-0.010310575983499609
FractionCurrying,779,6,157,5,-0.21381615160808343,45.45454545454545,3.0864197530864197,0.0816087722765176
FractionPatternMatching,679,106,110,52,-0.6084925690021228,32.91139240506329,32.098765432098766,0.18781705912051944
FractionLazyValues,684,101,140,22,-0.7946606904144053,17.88617886178862,13.580246913580247,0.007997925443075192
HasMultipleParameterLists,671,114,96,66,-0.5638122198631748,36.666666666666664,40.74074074074074,0.25163171467604967
FunctionalScoreFraction,535,250,62,100,-1.3233781552252881,28.57142857142857,61.72839506172839,0.233114921489107
FractionVariables,737,48,145,17,-0.4372178973028227,26.153846153846157,10.493827160493826,0.06522196985323422
FractionVariableDefinitions,678,107,138,24,-0.8244475898403707,18.3206106870229,14.814814814814813,0.012916709997256774
FractionInnerVariableAssignment,753,32,149,13,-0.34785719902492684,28.888888888888886,8.024691358024691,0.0698857065168882
FractionOuterVariableUsage,614,171,131,31,-1.2489109066603752,15.346534653465346,19.1358024691358,-0.0243386765773486
FractionOuterVariableAssignment,385,400,84,78,-2.6042148305417934,16.317991631799163,48.148148148148145,-0.0211434333373472
FractionSideEffects,528,257,94,68,-1.6138004246284492,20.923076923076923,41.9753086419753,0.0732589665777054
IsSideEffect,580,205,116,46,-1.39039867893371,18.326693227091635,28.39506172839506,0.01945647595663533
FractionSideEffectCalls,655,130,112,50,-0.8021074152708967,27.77777777777778,30.864197530864196,0.13727973396788865
FractionSideEffectFunctions,769,16,153,9,-0.25849650074703123,36.0,5.555555555555555,0.08261731900190927
ImperativeScoreFraction,539,246,101,61,-1.5840135252024843,19.86970684039088,37.65432098765432,0.05081901658082368
HasPointsFraction,282,503,22,140,-2.909530549657937,21.77293934681182,86.41975308641975,0.18021783255718601
ParadigmScoreFraction,512,273,56,106,-1.4499724777856406,27.96833773087071,65.4320987654321,0.2356135646644016
