name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,10817,234,1809,155,-0.22509418008452164,39.84575835475578,7.892057026476579,0.12139082536898342
IsNested,11051,0,1964,0,-0.17772147316984865,0.0,0.0,0.0
FractionNestedMethods,9628,1423,1382,582,-0.68203092272985,29.02743142144638,29.633401221995925,0.1661537604647754
FractionFunctions,8738,2313,1049,915,-1.016038489204191,28.345724907063197,46.58859470468432,0.21267130917967633
IsFunction,10272,779,1636,328,-0.4481656607460205,29.629629629629626,16.700610997963338,0.12384315447209088
HasFunctionParameters,10448,603,1581,383,-0.3096454671094446,38.843813387423936,19.501018329938898,0.18998729050356322
FractionHigherOrderCalls,9383,1668,1052,912,-0.6310602887077332,35.348837209302324,46.435845213849284,0.28141339797669407
FractionFunctionCalls,9751,1300,1599,365,-0.738398447413132,21.92192192192192,18.584521384928717,0.07309823587356422
FractionCurrying,10685,366,1752,212,-0.27006826892756575,36.67820069204152,10.79429735234216,0.13001382885182897
FractionPatternMatching,8882,2169,964,1000,-0.8787176046034295,31.55569580309246,50.91649694501018,0.260961557592701
FractionLazyValues,10607,444,1739,225,-0.3090458125915374,33.6322869955157,11.456211812627291,0.12058111460171546
HasMultipleParameterLists,10504,547,1608,356,-0.2922554860901343,39.42414174972315,18.126272912423623,0.18561779689796837
FunctionalScoreFraction,8369,2682,895,1069,-1.1449642105542508,28.499066915489202,54.42973523421588,0.2383616455733367
FractionVariables,8653,2398,1202,762,-1.1587562644661178,24.113924050632914,38.79837067209776,0.1427479244986561
FractionVariableDefinitions,10240,811,1646,318,-0.4733511504981254,28.166519043401237,16.191446028513237,0.11258605082439979
FractionInnerVariableAssignment,10615,436,1767,197,-0.3210389029496825,31.121642969984205,10.030549898167006,0.1012627066725019
FractionOuterVariableUsage,8854,2197,1263,701,-1.0748046319591018,24.18909592822636,35.692464358452135,0.1360444454749962
FractionOuterVariableAssignment,9308,1743,1357,607,-0.8589290055124901,25.829787234042552,30.906313645621182,0.14083496149115168
FractionSideEffects,5953,5098,779,1185,-2.524169601740937,18.860416998249242,60.336048879837065,0.10175158848759636
IsSideEffect,6799,4252,989,975,-2.142789328351923,18.65314712071934,49.64358452138493,0.08154277575256974
FractionSideEffectCalls,7186,3865,919,1045,-1.8687472136683074,21.283095723014256,53.20773930753564,0.13465578113142382
FractionSideEffectFunctions,10303,748,1403,561,-0.2898568680185052,42.857142857142854,28.564154786150713,0.25939703817005605
ImperativeScoreFraction,6192,4859,861,1103,-2.430023842429498,18.50050318685005,56.16089613034623,0.08759199770334897
HasPointsFraction,3720,7331,254,1710,-3.548379518326528,18.91383696493751,87.06720977596741,0.16111443726537486
ParadigmScoreFraction,8250,2801,896,1068,-1.2169227527031214,27.604032049625225,54.378818737270876,0.22737564165394744
