name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,1987,40,248,40,-0.1420818944252591,50.0,13.88888888888889,0.2153042971994987
IsNested,2027,0,288,0,-0.1420818944252591,0.0,0.0,0.0
FractionNestedMethods,1873,154,192,96,-0.3720844981636793,38.4,33.33333333333333,0.2736732970656056
FractionFunctions,1269,758,84,204,-2.339003316340514,21.205821205821206,70.83333333333334,0.22393870383731115
IsFunction,1983,44,249,39,-0.16190970509236435,46.98795180722892,13.541666666666666,0.20185268516368776
HasFunctionParameters,1619,408,148,140,-1.2048525461820971,25.547445255474454,48.61111111111111,0.22115557725388393
FractionHigherOrderCalls,1277,750,84,204,-2.307278819273146,21.38364779874214,70.83333333333334,0.22686020651970382
FractionFunctionCalls,1559,468,163,125,-1.5022697061886752,21.079258010118043,43.40277777777778,0.15359769299438206
FractionCurrying,1960,67,228,60,-0.1698408293592064,47.24409448818898,20.833333333333336,0.2540556580558378
FractionPatternMatching,1617,410,119,169,-1.0977823685797294,29.18825561312608,58.68055555555556,0.2930530172101542
FractionLazyValues,1991,36,258,30,-0.16587526722578527,45.45454545454545,10.416666666666668,0.17135725009833844
HasMultipleParameterLists,1835,192,166,122,-0.41967124376473164,38.853503184713375,42.36111111111111,0.317018946341849
FunctionalScoreFraction,1428,599,102,186,-1.779859055528148,23.694267515923567,64.58333333333334,0.2442366793848789
FractionVariables,1910,117,253,35,-0.4672579893657842,23.026315789473685,12.152777777777777,0.08502398303948769
FractionVariableDefinitions,1953,74,256,32,-0.3086355040289426,30.18867924528302,11.11111111111111,0.11779699038459694
FractionInnerVariableAssignment,1958,69,258,30,-0.2967388176286796,30.303030303030305,10.416666666666668,0.11439341575849503
FractionOuterVariableUsage,68,1959,9,279,-6.804226278572604,12.466487935656836,96.875,0.00422795402328287
FractionOuterVariableAssignment,39,1988,6,282,-6.907330894041551,12.422907488986784,97.91666666666666,-0.003808383236538566
FractionSideEffects,1615,412,149,139,-1.2246803568492024,25.226860254083483,48.26388888888889,0.2165198734908562
IsSideEffect,1875,152,256,32,-0.6179493504357836,17.391304347826086,11.11111111111111,0.044076960493107
FractionSideEffectCalls,1774,253,205,83,-0.8162274571068355,24.702380952380953,28.819444444444443,0.15308336635354658
FractionSideEffectFunctions,1976,51,223,65,-0.08656402455736445,56.03448275862068,22.569444444444446,0.3033679952316585
ImperativeScoreFraction,1676,351,158,130,-1.0184711259113084,27.027027027027028,45.13888888888889,0.22633386088334762
HasPointsFraction,547,1480,25,263,-4.968171010798663,15.088927137119908,91.31944444444444,0.14007138012965212
ParadigmScoreFraction,850,1177,53,235,-3.8776414241078774,16.643059490084987,81.59722222222221,0.15922248400670935
