name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,987,7,352,4,-0.3695939683042071,36.36363636363637,1.1235955056179776,0.020555548915460235
IsNested,994,0,356,0,-0.35814889336016087,0.0,0.0,0.0
FractionNestedMethods,912,82,259,97,-0.3009235186399293,54.18994413407822,27.247191011235955,0.24683919246439204
FractionFunctions,794,200,195,161,-0.5069348676327627,44.59833795013851,45.2247191011236,0.24992475781754192
IsFunction,957,37,322,34,-0.3695939683042071,47.88732394366197,9.550561797752808,0.11505096407878526
HasFunctionParameters,901,93,275,81,-0.403929193136346,46.55172413793103,22.752808988764045,0.17617198023292996
FractionHigherOrderCalls,785,209,199,157,-0.5565301923902968,42.89617486338798,44.10112359550562,0.22872897372513143
FractionFunctionCalls,487,507,186,170,-1.643812312074695,25.11078286558346,47.752808988764045,-0.02867020004909942
FractionCurrying,985,9,343,13,-0.34288879343476575,59.09090909090909,3.651685393258427,0.09557588444690938
FractionPatternMatching,784,210,180,176,-0.48785974272601895,45.59585492227979,49.43820224719101,0.2760883028565572
FractionLazyValues,950,44,316,40,-0.373408993285556,47.61904761904761,11.235955056179774,0.12421391994284467
HasMultipleParameterLists,821,173,248,108,-0.6061255171478306,38.43416370106761,30.337078651685395,0.14036659765814932
FunctionalScoreFraction,805,189,176,180,-0.3924841181922998,48.78048780487805,50.56179775280899,0.3119165287574279
FractionVariables,954,40,298,58,-0.28947844369588305,59.183673469387756,16.292134831460675,0.20834179466351718
FractionVariableDefinitions,979,15,318,38,-0.27040331878913926,71.69811320754717,10.674157303370785,0.20794458584194636
FractionInnerVariableAssignment,966,28,301,55,-0.25514321886374414,66.26506024096386,15.44943820224719,0.23172954526953393
FractionOuterVariableUsage,964,30,315,41,-0.3161836185653244,57.74647887323944,11.51685393258427,0.1677677799508043
FractionOuterVariableAssignment,978,16,331,25,-0.32381366852802196,60.97560975609756,7.02247191011236,0.1389887151692619
FractionSideEffects,878,116,256,100,-0.41918929306174113,46.2962962962963,28.08988764044944,0.19735786443954545
IsSideEffect,918,76,296,60,-0.41918929306174113,44.11764705882353,16.853932584269664,0.1348054369171786
FractionSideEffectCalls,895,99,263,93,-0.38103904324825333,48.4375,26.12359550561798,0.20391903073001386
FractionSideEffectFunctions,987,7,347,9,-0.3505188433974633,56.25,2.528089887640449,0.07426306401099214
ImperativeScoreFraction,880,114,265,91,-0.4458944679311825,44.390243902439025,25.56179775280899,0.17303800651451517
HasPointsFraction,752,242,169,187,-0.567975267334343,43.58974358974359,52.52808988764045,0.2667053622567293
ParadigmScoreFraction,794,200,201,155,-0.5298250175208552,43.66197183098591,43.53932584269663,0.234397745798008
