name,tn,fp,fn,tp,r2,precision,recall,mcc
FractionRecursiveCalls,3102,8,289,18,-0.06292510238067783,69.23076923076923,5.863192182410423,0.18447971155328732
IsNested,3110,0,307,0,-0.09871382636655923,0.0,0.0,0.0
FractionNestedMethods,2591,519,226,81,-1.666259936948165,13.5,26.384364820846905,0.07287602434098368
FractionFunctions,2774,336,209,98,-0.9504854572305368,22.58064516129032,31.921824104234524,0.18135518160431643
IsFunction,13,3097,1,306,-10.087346690826061,8.9920658242727,99.6742671009772,0.0041307749412589105
HasFunctionParameters,2940,170,263,44,-0.5496517485886652,20.5607476635514,14.332247557003258,0.10463867318773454
FractionHigherOrderCalls,2861,249,211,96,-0.6462813033505448,27.82608695652174,31.27035830618892,0.22080670835939967
FractionFunctionCalls,2944,166,273,34,-0.5711249829801939,17.0,11.074918566775244,0.06989019643973846
FractionCurrying,10,3100,1,306,-10.098083308021826,8.984145625366999,99.6742671009772,-0.00021149102628791825
FractionPatternMatching,2639,471,205,102,-1.4193177414455835,17.801047120418847,33.22475570032573,0.1383907843112473
FractionLazyValues,3076,34,293,14,-0.17029127433832203,29.166666666666668,4.5602605863192185,0.08424298131641608
HasMultipleParameterLists,2909,201,251,56,-0.6176503241618398,21.78988326848249,18.241042345276874,0.12770607603146125
FunctionalScoreFraction,2633,477,189,118,-1.383529017459702,19.831932773109244,38.43648208469055,0.17418187836469448
FractionVariables,3085,25,294,13,-0.1416602951496171,34.21052631578947,4.234527687296417,0.09354968453378881
FractionVariableDefinitions,3094,16,299,8,-0.1273448055552644,33.33333333333333,2.6058631921824107,0.07161230209700056
FractionInnerVariableAssignment,3094,16,299,8,-0.1273448055552644,33.33333333333333,2.6058631921824107,0.07161230209700056
FractionOuterVariableUsage,3100,10,295,12,-0.091556081569383,54.54545454545454,3.908794788273615,0.12825667116981915
FractionOuterVariableAssignment,3102,8,305,2,-0.12018706075808816,20.0,0.6514657980456027,0.020869601948001908
FractionSideEffects,3004,106,245,62,-0.2561842119044375,36.904761904761905,20.195439739413683,0.2220215016751432
IsSideEffect,328,2782,32,275,-9.070946929627029,8.995747464834805,89.57654723127035,0.00114725238639396
FractionSideEffectCalls,3045,65,281,26,-0.2382898499114967,28.57142857142857,8.469055374592834,0.11329787038417113
FractionSideEffectFunctions,3110,0,307,0,-0.09871382636655923,0.0,0.0,0.0
ImperativeScoreFraction,3005,105,246,61,-0.2561842119044375,36.74698795180723,19.86970684039088,0.21938135067825065
HasPointsFraction,2604,506,207,100,-1.5517360201933448,16.5016501650165,32.57328990228013,0.12205493082072065
ParadigmScoreFraction,2622,488,215,92,-1.5159472962074632,15.862068965517242,29.967426710097723,0.10874656657104206
