name,count,mean,std,min,25%,50%,75%,max
Recursive,633,0.005124040757872042,0.033522140171352896,0.0,0.0,0.0,0.0,0.4
Nested,633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HigherOrder,633,0.15644740041325514,0.34482710647073744,0.0,0.0,0.0,0.0,2.0
FunctionalCalls,633,0.4122877040858257,1.042507845444357,0.0,0.0,0.0,0.6,13.0
SideEffects,633,0.4902339733004701,1.592345641586546,0.0,0.0,0.0,0.0,15.0
ImperativeCalls,633,0.05536205466336156,0.18115521227697673,0.0,0.0,0.0,0.0,1.5
FunctionalScoreLandkroon,633,0.5738591452569529,1.1015572589326483,0.0,0.0,0.14285714285714285,1.0,13.0
ImperativeScoreLandkroon,633,0.5455960279638316,1.6892299572698009,0.0,0.0,0.0,0.0,16.0
HasPointsLandkroon,633,0.41091265815636235,0.41619214949469857,0.0,0.0,0.3,0.9,1.0
ParadigmScoreLandkroon,633,0.3189559045725501,0.3918818297056626,0.0,0.0,0.09090909090909093,0.6341463414634146,1.0
