name,count,mean,std,min,25%,50%,75%,max
Recursive,2315,0.0695464362850972,0.48832657636565724,0.0,0.0,0.0,0.0,7.0
Nested,2315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HigherOrder,2315,3.2570194384449245,14.030280770304344,0.0,0.0,0.0,0.0,182.0
FunctionalCalls,2315,6.225053995680345,28.50907562109545,0.0,0.0,0.0,2.0,350.0
SideEffects,2315,2.1814254859611233,15.957183978554992,0.0,0.0,0.0,0.0,378.0
ImperativeCalls,2315,0.5205183585313174,2.605739242515823,0.0,0.0,0.0,0.0,49.0
FunctionalScoreLandkroon,2315,9.551619870410367,40.209211854854125,0.0,0.0,1.0,2.0,461.0
ImperativeScoreLandkroon,2315,2.7019438444924404,17.707973257171666,0.0,0.0,0.0,0.0,427.0
HasPointsLandkroon,2315,4.263930885529158,15.18824174224273,0.0,0.0,1.0,1.0,161.0
ParadigmScoreLandkroon,2315,3.938833697093727,14.807511018461366,0.0,0.0,1.0,1.0,161.0
