name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
Recursive,28,3,25,10.714285714285714,1.3824884792626728
Nested,47,6,41,12.76595744680851,2.7649769585253456
HigherOrder,149,13,136,8.724832214765101,5.990783410138248
FunctionalCalls,526,81,445,15.399239543726237,37.327188940092164
SideEffects,9,3,6,33.33333333333333,1.3824884792626728
ImperativeCalls,12,2,10,16.666666666666664,0.9216589861751152
FunctionalScoreLandkroon,656,94,562,14.329268292682926,43.31797235023041
ImperativeScoreLandkroon,16,3,13,18.75,1.3824884792626728
HasPointsLandkroon,660,94,566,14.242424242424242,43.31797235023041
ParadigmScoreLandkroon,656,94,562,14.329268292682926,43.31797235023041
