name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
Recursive,72,0,72,0.0,0.0
Nested,71,3,68,4.225352112676056,1.6574585635359116
HigherOrder,168,11,157,6.547619047619048,6.077348066298343
FunctionalCalls,1202,110,1092,9.151414309484194,60.773480662983424
SideEffects,119,20,99,16.80672268907563,11.049723756906078
ImperativeCalls,206,31,175,15.048543689320388,17.12707182320442
FunctionalScoreLandkroon,1332,116,1216,8.708708708708707,64.08839779005525
ImperativeScoreLandkroon,277,41,236,14.801444043321299,22.65193370165746
HasPointsLandkroon,1448,122,1326,8.425414364640885,67.40331491712708
ParadigmScoreLandkroon,1332,116,1216,8.708708708708707,64.08839779005525
