name,rows_with_data,faulty_rows_with_data,non_faulty_rows_with_data,percentage_faulty,percentage_total_faults
Recursive,150,12,138,8.0,3.2171581769436997
Nested,142,10,132,7.042253521126761,2.680965147453083
HigherOrder,435,71,364,16.32183908045977,19.034852546916888
FunctionalCalls,981,126,855,12.844036697247708,33.78016085790885
SideEffects,19,3,16,15.789473684210526,0.8042895442359249
ImperativeCalls,13,0,13,0.0,0.0
FunctionalScoreLandkroon,1295,169,1126,13.050193050193052,45.30831099195711
ImperativeScoreLandkroon,29,3,26,10.344827586206897,0.8042895442359249
HasPointsLandkroon,1307,169,1138,12.930374904361134,45.30831099195711
ParadigmScoreLandkroon,1295,169,1126,13.050193050193052,45.30831099195711
